utility_group,County,s_uc,Total_MWh,E_uc
Colorado Springs Utilities,El Paso,0.3333333333333333,4146991.226700948,1382330.4089003159
Colorado Springs Utilities,Teller,0.5,251593.08449290023,125796.54224645012
Public Service Company of Colorado,Adams,1.0,3678990.8946008254,3678990.8946008254
Public Service Company of Colorado,Alamosa,1.0,149238.6727400427,149238.6727400427
Public Service Company of Colorado,Arapahoe,1.0,5495468.248788391,5495468.248788391
Public Service Company of Colorado,Archuleta,1.0,99721.23929097844,99721.23929097844
Public Service Company of Colorado,Baca,1.0,103460.086637876,103460.086637876
Public Service Company of Colorado,Bent,1.0,35652.28254461255,35652.28254461255
Public Service Company of Colorado,Boulder,0.5,2905330.65077072,1452665.32538536
Public Service Company of Colorado,Chaffee,0.5,139597.79502967276,69798.89751483638
Public Service Company of Colorado,Clear Creek,0.5,198373.9157799379,99186.95788996895
Public Service Company of Colorado,Conejos,1.0,57054.647259039775,57054.647259039775
Public Service Company of Colorado,Costilla,1.0,26209.15785405412,26209.15785405412
Public Service Company of Colorado,Crowley,1.0,26750.013837840248,26750.013837840248
Public Service Company of Colorado,Custer,0.5,40337.68954956467,20168.844774782334
Public Service Company of Colorado,Delta,0.5,268126.7517797112,134063.3758898556
Public Service Company of Colorado,Denver,1.0,7910040.675231405,7910040.675231405
Public Service Company of Colorado,Dolores,0.5,40655.60516612501,20327.802583062505
Public Service Company of Colorado,Douglas,1.0,2654113.933292901,2654113.933292901
Public Service Company of Colorado,Eagle,1.0,480766.7169776864,480766.7169776864
Public Service Company of Colorado,El Paso,0.3333333333333333,4146991.226700948,1382330.4089003159
Public Service Company of Colorado,Elbert,1.0,212368.13190822132,212368.13190822132
Public Service Company of Colorado,Fremont,0.5,422832.5953672451,211416.29768362254
Public Service Company of Colorado,Garfield,0.5,449231.3234746831,224615.66173734155
Public Service Company of Colorado,Gilpin,1.0,71045.38884849906,71045.38884849906
Public Service Company of Colorado,Grand,0.5,202988.56261464715,101494.28130732357
Public Service Company of Colorado,Gunnison,0.5,199721.48179360083,99860.74089680042
Public Service Company of Colorado,Hinsdale,1.0,8001.81070349685,8001.81070349685
Public Service Company of Colorado,Huerfano,1.0,63848.95863953452,63848.95863953452
Public Service Company of Colorado,Jefferson,0.5,5664505.13432843,2832252.567164215
