zone,forecast_year,summer_peak_demand_forecast_mw_idx,winter_peak_demand_forecast_mw_idx,net_demand_forecast_mwh_idx
Denver,2025,0.9999999999999999,0.9999999999999999,0.9999999999999999
Denver,2026,0.9999999999999999,1.0249801825813945,1.001665413278196
Denver,2027,1.0177635785688346,1.0264951129796367,1.00436900626228
Denver,2028,1.0384000274089449,1.0630834740071542,1.0083228109927445
Denver,2029,1.0683633277737772,1.1104212262755364,1.013505236942077
Denver,2030,1.103171937670686,1.166110301618511,1.0178790299931295
Denver,2031,1.1314785088263577,1.2117565449319834,1.021981388796123
Denver,2032,1.1631006155669579,1.2580840169552823,1.0254795720758318
Denver,2033,1.1952497980719947,1.3034530946600225,1.0293914017303933
Denver,2034,1.2230869386576286,1.344507315561372,1.03336019848098
East,2025,1.0,1.0,1.0
East,2026,1.0,1.018123735081753,1.0012082981762565
East,2027,1.0158078637594437,1.021636886567082,1.00316982118966
East,2028,1.0320454259624072,1.0512001802039554,1.0077754860239243
East,2029,1.0583591264663748,1.0894073321214117,1.0158919208302237
East,2030,1.0852682659929647,1.1321044527251698,1.0213071430075604
East,2031,1.1080440073295454,1.1667910427004344,1.026401110843804
East,2032,1.131667943379721,1.201851179194819,1.0295171864168835
East,2033,1.1574262569452445,1.2373022916552645,1.0347385848527555
East,2034,1.1795694197038316,1.2693814664535512,1.0397228768640845
Mountain,2025,1.0,1.0,1.0
Mountain,2026,1.0,1.023656996540377,1.0015771972855763
Mountain,2027,1.0173861565093594,1.0255575520381242,1.004137582489434
Mountain,2028,1.0371736897274082,1.060790186049721,1.008217185921061
Mountain,2029,1.066432674979867,1.1063658767065927,1.0139658292247835
Mountain,2030,1.0997168119006486,1.1595477100474432,1.0185406016434575
Mountain,2031,1.1269560202839448,1.2030789134204412,1.0228343253232348
Mountain,2032,1.1570346064460242,1.2472319677015933,1.0262587678525619
Mountain,2033,1.1879504522163777,1.2906870348101414,1.030423323591772
Mountain,2034,1.2146887450417094,1.3300092136121853,1.0345880948836648
North,2025,1.0,1.0,1.0
North,2026,1.0,1.0150891632373114,1.0010059851536472
North,2027,1.0149422905749854,1.019486700616379,1.0026390779355423
North,2028,1.029232964460541,1.0459407935031462,1.0075332473222893
North,2029,1.0539314009401228,1.0801068639787599,1.0169482351575676
North,2030,1.0773443406674694,1.1170539193981868,1.0228243799197805
North,2031,1.0976722107928598,1.1468899135734103,1.028357220634895
North,2032,1.11775626360387,1.176963278250508,1.0313041804540592
North,2033,1.1406860641608163,1.208024832111393,1.0371051764952997
North,2034,1.160309148584707,1.2361317716948195,1.0425389131099123
South,2025,0.9999999999999998,0.9999999999999998,0.9999999999999998
South,2026,1.0015353464770866,1.0139590235946572,1.0023384762064653
South,2027,1.0159980693535442,1.0184386614919758,1.0052735024261978
South,2028,1.030007338236091,1.053343969107553,1.0109987676841432
South,2029,1.0523865468763507,1.0761565042528975,1.018822929079989
South,2030,1.0748561507136183,1.1103108908368884,1.024658834984169
South,2031,1.0944077447549927,1.1357552420498824,1.0302949701991215
South,2032,1.11364856902221,1.1631863419732982,1.0347242087131503
South,2033,1.1351380715211943,1.1927698237751,1.0400246633002062
South,2034,1.1537817910378034,1.229766449284371,1.045635517651269
West,2025,1.0,1.0,1.0
West,2026,1.0,1.0152370957635937,1.0010158477234163
West,2027,1.0149844864544781,1.019591520161267,1.0026649511705206
West,2028,1.0293700693163066,1.04619718366335,1.0075450562313986
West,2029,1.0541472483994547,1.0805602530624525,1.0168967408265708
West,2030,1.0777306245821572,1.117787618757137,1.022750416045831
West,2031,1.0981778261291941,1.1478600749202317,1.028261862120444
West,2032,1.1184344449222134,1.1781765400380966,1.0312170661737188
West,2033,1.1415021328307964,1.2094520807564972,1.0369898073762587
West,2034,1.161248068705762,1.2377526630745312,1.0424016339887374
