zone,forecast_year,summer_peak_demand_forecast_mw_idx,winter_peak_demand_forecast_mw_idx,net_demand_forecast_mwh_idx
Denver,2025,0.9999999999999999,0.9999999999999999,0.9999999999999999
Denver,2026,0.9999999999999999,1.0249801825813945,1.001665413278196
Denver,2027,1.0177635785688346,1.0264951129796367,1.00436900626228
Denver,2028,1.0384000274089449,1.0630834740071542,1.0083228109927445
Denver,2029,1.0683633277737772,1.1104212262755364,1.013505236942077
Denver,2030,1.103171937670686,1.166110301618511,1.0178790299931295
Denver,2031,1.1314785088263577,1.2117565449319834,1.021981388796123
Denver,2032,1.1631006155669579,1.2580840169552823,1.0254795720758318
Denver,2033,1.1952497980719947,1.3034530946600225,1.0293914017303933
Denver,2034,1.2230869386576286,1.344507315561372,1.03336019848098
Denver,2035,1.2550495115280538,1.3932179268639204,1.037267141769465
Denver,2036,1.287847352957244,1.4436932914154887,1.0411888564860368
Denver,2037,1.3215022907738947,1.4959973450597597,1.0451253984787257
Denver,2038,1.3560367232269568,1.5501963399937697,1.049076823806713
Denver,2039,1.3914736338922638,1.6063589286878606,1.0530431887411298
Denver,2040,1.427836606968707,1.6645562508459941,1.0570245497658577
Denver,2041,1.4651498429741425,1.724862023516582,1.0610209635783332
Denver,2042,1.5034381748514742,1.7873526344679718,1.0650324870903554
Denver,2043,1.542727084495632,1.8521072389468651,1.0690591774288964
Denver,2044,1.5830427197124455,1.9192078599422284,1.073101091936915
Denver,2045,1.6244119116206983,1.9887394920816999,1.0771582881741728
Denver,2046,1.6668621925089457,2.0607902092920947,1.0812308239180544
Denver,2047,1.7104218141589789,2.1354512763603775,1.0853187571643896
Denver,2048,1.7551197666481309,2.212817264536418,1.08942214612828
Denver,2049,1.8009857976429378,2.2929861713239554,1.0935410492449278
Denver,2050,1.848050432196996,2.3760595446115116,1.0976755251704675
East,2025,1.0,1.0,1.0
East,2026,1.0,1.018123735081753,1.0012082981762565
East,2027,1.0158078637594437,1.021636886567082,1.00316982118966
East,2028,1.0320454259624072,1.0512001802039554,1.0077754860239243
East,2029,1.0583591264663748,1.0894073321214117,1.0158919208302237
East,2030,1.0852682659929647,1.1321044527251698,1.0213071430075604
East,2031,1.1080440073295454,1.1667910427004344,1.026401110843804
East,2032,1.131667943379721,1.201851179194819,1.0295171864168835
East,2033,1.1574262569452445,1.2373022916552645,1.0347385848527555
East,2034,1.1795694197038316,1.2693814664535512,1.0397228768640845
East,2035,1.2043982204861616,1.3062267301922375,1.044378463251278
East,2036,1.2297496436237265,1.344141470282872,1.0490548960438848
East,2037,1.255634689814006,1.3831567295122695,1.0537522685862406
East,2038,1.2820645913085722,1.4233044517199998,1.058470674640651
East,2039,1.3090508167870798,1.4646175079524846,1.0632102083892623
