utility_group,zone,utility_zone_E_uc_MWh,zone_total_MWh,s_uz
Public Service Company of Colorado,Denver,24193763.991201565,29228261.482774682,0.8277524137198465
WAPA (incl. Tri-State),Denver,5034497.491573116,29228261.482774682,0.17224758628015338
Public Service Company of Colorado,East,1083665.4610979166,1804440.967977476,0.6005546761180848
WAPA (incl. Tri-State),East,720775.5068795595,1804440.967977476,0.39944532388191517
Public Service Company of Colorado,Mountain,1042892.9078154159,1330378.630119232,0.7839068399061319
WAPA (incl. Tri-State),Mountain,287485.7223038161,1330378.630119232,0.2160931600938681
Public Service Company of Colorado,North,3029161.328741827,6058322.657483654,0.5
WAPA (incl. Tri-State),North,3029161.328741827,6058322.657483654,0.5
Colorado Springs Utilities,South,1508126.951146766,7726815.429475557,0.19518092089966324
Public Service Company of Colorado,South,3574048.381453898,7726815.429475557,0.46255128184115035
WAPA (incl. Tri-State),South,2644640.0968748922,7726815.429475557,0.34226779725918627
Public Service Company of Colorado,West,2282686.366439324,4521048.8582851505,0.5049019459845331
WAPA (incl. Tri-State),West,2238362.491845827,4521048.8582851505,0.495098054015467
