county_name,Residential_MWh,Commercial_MWh,Industrial_MWh,Total_MWh
Adams,1340094.76286816,1829129.0063475398,509767.1253851265,3678990.8946008263
Alamosa,55105.0844704415,77844.0416047116,16289.546664889624,149238.6727400427
Arapahoe,1894408.28234475,2343804.38482945,1257255.5816141914,5495468.248788391
Archuleta,43977.6389384244,33068.5479265952,22675.05242595883,99721.23929097844
Baca,12830.1219565726,28744.6453121704,61885.31936913301,103460.08663787601
Bent,13698.4114786775,8894.3632948831,13059.50777105195,35652.28254461255
Boulder,918667.521033739,1456407.58826561,530255.5414713715,2905330.65077072
Broomfield,197496.81158086198,332871.485310172,120024.34424253766,650392.6411335716
Chaffee,68659.829181718,49928.1002916523,21009.86555630247,139597.79502967276
Cheyenne,7278.04823250488,17773.3442237329,38343.2774409339,63394.66989717168
Clear Creek,38305.676268139105,40461.7672925718,119606.472219227,198373.9157799379
Conejos,26528.479314066,10555.2677430248,19970.900201948967,57054.647259039775
Costilla,13200.7103811977,4681.512320285679,8326.935152570743,26209.15785405412
Crowley,11406.9268128535,6463.15265232969,8879.93437265706,26750.013837840248
Custer,17401.8893153706,7715.63982180321,15220.160412390855,40337.68954956467
Delta,106590.472360734,45096.174244521295,116440.10517445595,268126.7517797112
Denver,1877509.22760905,3873848.89706652,2158682.550555835,7910040.675231405
Dolores,5631.91087322023,7340.73647327039,27682.95781963439,40655.60516612501
Douglas,1126010.37428192,1030054.69000699,498048.86900399136,2654113.933292901
Eagle,152787.72222541698,249530.699918305,78448.29483396445,480766.7169776864
Elbert,99703.7790289313,43361.697615112294,69302.65526417778,212368.13190822134
El Paso,2077167.48980061,1390005.49667893,679818.2402214078,4146991.226700948
Fremont,118624.737031502,140602.116055345,163605.7422803981,422832.5953672451
Garfield,163998.59909040702,176532.259081874,108700.46530240205,449231.3234746831
Gilpin,22168.8934588021,46846.1708405324,2030.324549164545,71045.38884849906
Grand,51977.9410347808,72672.8878002589,78337.73377960746,202988.56261464715
Gunnison,51474.090762673,75327.00677837759,72920.38425255026,199721.48179360083
Hinsdale,3705.61548234862,3724.44498109348,571.7502400547501,8001.81070349685
Huerfano,23471.729982209,18365.1410532185,22012.087604107022,63848.95863953452
Jackson,5755.020119041999,6840.44005812047,12948.40155700717,25543.861734169637
Jefferson,1787062.53947597,1851114.74928269,2026327.8455697699,5664505.13432843
Kiowa,4737.24353059117,4675.31099244297,37593.7851524646,47006.33967549875
Kit Carson,34134.1533535436,63605.190716209,65317.01446912747,163056.35853888007
Lake,26655.1639434946,25003.748048480298,5682.9637682332705,57341.87576020817
La Plata,171218.803478052,239691.595376869,154772.79818672777,565683.1970416488
Larimer,978911.634507461,1251606.04001579,532939.5177418679,2763457.192265119
Las Animas,50163.652599564404,47077.1025759181,93118.02493949242,190358.78011497494
Lincoln,15346.8986015628,25272.6086238344,37558.020501438805,78177.52772683601
Logan,83675.32177450339,54395.6662534593,111655.0002946203,249725.98832258297
Mesa,469532.869033242,421884.188254326,386654.5658573577,1278071.6231449256
Mineral,3978.59629359332,3134.56296967783,74963.82860184115,82076.9878651123
Moffat,47033.6198820617,41355.8182253663,59260.384736558095,147649.8228439861
Montezuma,83976.986503442,166852.396759141,144682.67102263193,395512.0542852149
Montrose,148991.81292251,90337.2005013883,137379.15438886257,376708.1678127609
Morgan,119183.724326771,193197.710895106,178622.3055371764,491003.7407590534
Otero,63592.5458701971,108044.13470126501,79437.92601019252,251074.60658165463
Ouray,20096.0239241215,12609.8958542082,60485.936978994185,93191.85675732388
Park,71049.7491537035,37940.8159213577,12971.1322819439,121961.69735700509
Phillips,18779.7850340156,9901.01787241355,56455.313452272436,85136.11635870158
Pitkin,61841.5705040778,160750.87052338,77591.88924062523,300184.330268083
Prowers,41194.7215347431,40499.151062124605,38862.76619708567,120556.63879395337
Pueblo,477923.828081826,751272.6643749321,641183.9650904236,1870380.4575471815
Rio Blanco,18241.401963615,20526.4981498916,95737.46380557417,134505.36391908076
Rio Grande,42266.8192878871,47222.26496972219,23373.75624518336,112862.84050279265
Routt,95953.3713924724,147792.780343653,73114.46527120729,316860.6170073327
Saguache,23066.9006877121,7185.45601386015,21218.481753916076,51470.83845548832
San Juan,2309.84619489669,6786.02221865089,54303.30698743092,63399.1754009785
San Miguel,31225.8182038103,40795.269000660504,11987.680658832274,84008.76786330309
Sedgwick,10852.5136694667,6286.4548229629,27074.50474728096,44213.47323971056
Summit,81760.8470916308,178668.310049206,3124.125623600877,263553.28276443767
Teller,95572.1423314268,81481.7779576639,74539.16420380955,251593.08449290026
Washington,22450.1733845466,15135.976353538099,72893.40725138514,110479.55698946984
Weld,816769.114798206,659390.114802804,1327702.4948584721,2803861.7244594824
Yuma,35662.8863174121,65243.9742580503,112482.3163490041,213389.1769244665
