utility_group,forecast_year,summer_peak_demand_forecast_mw,winter_peak_demand_forecast_mw,net_demand_forecast_mwh,summer_peak_demand_forecast_mw_idx,winter_peak_demand_forecast_mw_idx,net_demand_forecast_mwh_idx
Colorado Springs Utilities,2025,1017.0,797.0,4767935488.0,1.0,1.0,1.0
Colorado Springs Utilities,2026,1025.0,797.0,4802326528.0,1.007866273352999,1.0,1.0072129834991592
Colorado Springs Utilities,2027,1035.0,803.0,4837118464.0,1.0176991150442478,1.0075282308657465,1.0145100486728733
Colorado Springs Utilities,2028,1042.0,851.0,4884971008.0,1.024582104228122,1.067754077791719,1.024546372385817
Colorado Springs Utilities,2029,1050.0,822.0,4909972480.0,1.0324483775811208,1.0313676286072773,1.0297900406491407
Colorado Springs Utilities,2030,1058.0,826.0,4943740928.0,1.04031465093412,1.0363864491844417,1.0368724452003324
Colorado Springs Utilities,2031,1067.0,820.0,4979056640.0,1.0491642084562438,1.0288582183186952,1.0442793642093842
Colorado Springs Utilities,2032,1072.0,821.0,5026846208.0,1.0540806293018683,1.0301129234629862,1.0543024796899265
Colorado Springs Utilities,2033,1079.0,829.0,5050745856.0,1.0609636184857423,1.040150564617315,1.0593150575782286
Colorado Springs Utilities,2034,1086.0,878.0,5087546880.0,1.0678466076696165,1.1016311166875785,1.0670334975807458
Public Service Company of Colorado,2025,8677.0,6561.0,3329572.0,1.0,1.0,1.0
Public Service Company of Colorado,2026,8677.0,6759.0,3336271.0,1.0,1.0301783264746227,1.0020119703072947
Public Service Company of Colorado,2027,8844.0,6759.0,3347146.0,1.0192462832776306,1.0301783264746227,1.0052781558710848
Public Service Company of Colorado,2028,9052.0,7034.0,3358665.0,1.0432177019707272,1.0720926688004877,1.008737759688032
Public Service Company of Colorado,2029,9336.0,7390.0,3368514.0,1.0759479082632246,1.1263526901386984,1.011695797537942
Public Service Company of Colorado,2030,9690.0,7820.0,3380448.0,1.116745418923591,1.1918914799573235,1.0152800419993921
Public Service Company of Colorado,2031,9972.0,8174.0,3391604.0,1.149245130805578,1.2458466697149824,1.0186306227947617
Public Service Company of Colorado,2032,10299.0,8534.0,3404216.0,1.1869309669240522,1.3007163542142965,1.022418497032051
Public Service Company of Colorado,2033,10620.0,8881.0,3413935.0,1.2239253198109945,1.3536046334400245,1.0253374908246464
Public Service Company of Colorado,2034,10899.0,9195.0,3424586.0,1.2560792900772155,1.4014631915866484,1.0285364004742952
WAPA (incl. Tri-State),2025,2820.0,2274.0,16417025.0,1.0,1.0,1.0
WAPA (incl. Tri-State),2026,2820.0,2274.0,16417025.0,1.0,1.0,1.0
WAPA (incl. Tri-State),2027,2850.0,2294.0,16417025.0,1.0106382978723405,1.0087950747581353,1.0
WAPA (incl. Tri-State),2028,2863.0,2319.0,16520924.0,1.0152482269503547,1.0197889182058046,1.0063287349565466
WAPA (incl. Tri-State),2029,2910.0,2351.0,16781494.0,1.0319148936170213,1.0338610378188215,1.0222006727771933
WAPA (incl. Tri-State),2030,2927.0,2370.0,16915589.0,1.0379432624113476,1.04221635883905,1.030368717840169
WAPA (incl. Tri-State),2031,2950.0,2383.0,17042248.0,1.0460992907801419,1.0479331574318382,1.0380838184750283
WAPA (incl. Tri-State),2032,2957.0,2395.0,17076823.0,1.0485815602836879,1.0532102022867194,1.0401898638760676
WAPA (incl. Tri-State),2033,2982.0,2416.0,17219372.0,1.0574468085106383,1.0624450307827618,1.0488728621659527
WAPA (incl. Tri-State),2034,3002.0,2435.0,17345267.0,1.0645390070921985,1.0708003518029903,1.0565414257455294
