County,State,utility_group,Nc,s_uc
Adams,CO,Public Service Company of Colorado,1,1.0
Alamosa,CO,Public Service Company of Colorado,1,1.0
Arapahoe,CO,Public Service Company of Colorado,1,1.0
Archuleta,CO,Public Service Company of Colorado,1,1.0
Baca,CO,Public Service Company of Colorado,1,1.0
Bent,CO,Public Service Company of Colorado,1,1.0
Boulder,CO,Public Service Company of Colorado,2,0.5
Boulder,CO,WAPA (incl. Tri-State),2,0.5
Broomfield,CO,WAPA (incl. Tri-State),1,1.0
Chaffee,CO,Public Service Company of Colorado,2,0.5
Chaffee,CO,WAPA (incl. Tri-State),2,0.5
Cheyenne,CO,WAPA (incl. Tri-State),1,1.0
Clear Creek,CO,Public Service Company of Colorado,2,0.5
Clear Creek,CO,WAPA (incl. Tri-State),2,0.5
Conejos,CO,Public Service Company of Colorado,1,1.0
Costilla,CO,Public Service Company of Colorado,1,1.0
Crowley,CO,Public Service Company of Colorado,1,1.0
Custer,CO,Public Service Company of Colorado,2,0.5
Custer,CO,WAPA (incl. Tri-State),2,0.5
Delta,CO,Public Service Company of Colorado,2,0.5
Delta,CO,WAPA (incl. Tri-State),2,0.5
Denver,CO,Public Service Company of Colorado,1,1.0
Dolores,CO,Public Service Company of Colorado,2,0.5
Dolores,CO,WAPA (incl. Tri-State),2,0.5
Douglas,CO,Public Service Company of Colorado,1,1.0
Eagle,CO,Public Service Company of Colorado,1,1.0
El Paso,CO,Colorado Springs Utilities,3,0.3333333333333333
El Paso,CO,Public Service Company of Colorado,3,0.3333333333333333
El Paso,CO,WAPA (incl. Tri-State),3,0.3333333333333333
Elbert,CO,Public Service Company of Colorado,1,1.0
Fremont,CO,Public Service Company of Colorado,2,0.5
Fremont,CO,WAPA (incl. Tri-State),2,0.5
Garfield,CO,Public Service Company of Colorado,2,0.5
Garfield,CO,WAPA (incl. Tri-State),2,0.5
Gilpin,CO,Public Service Company of Colorado,1,1.0
Grand,CO,Public Service Company of Colorado,2,0.5
Grand,CO,WAPA (incl. Tri-State),2,0.5
Gunnison,CO,Public Service Company of Colorado,2,0.5
Gunnison,CO,WAPA (incl. Tri-State),2,0.5
Hinsdale,CO,Public Service Company of Colorado,1,1.0
Huerfano,CO,Public Service Company of Colorado,1,1.0
Jackson,CO,WAPA (incl. Tri-State),1,1.0
Jefferson,CO,Public Service Company of Colorado,2,0.5
Jefferson,CO,WAPA (incl. Tri-State),2,0.5
Kiowa,CO,Public Service Company of Colorado,1,1.0
Kit Carson,CO,WAPA (incl. Tri-State),1,1.0
La Plata,CO,Public Service Company of Colorado,2,0.5
La Plata,CO,WAPA (incl. Tri-State),2,0.5
Lake,CO,Public Service Company of Colorado,2,0.5
Lake,CO,WAPA (incl. Tri-State),2,0.5
Larimer,CO,Public Service Company of Colorado,2,0.5
Larimer,CO,WAPA (incl. Tri-State),2,0.5
Las Animas,CO,Public Service Company of Colorado,1,1.0
Lincoln,CO,WAPA (incl. Tri-State),1,1.0
Logan,CO,Public Service Company of Colorado,2,0.5
Logan,CO,WAPA (incl. Tri-State),2,0.5
Mesa,CO,Public Service Company of Colorado,2,0.5
Mesa,CO,WAPA (incl. Tri-State),2,0.5
Mineral,CO,Public Service Company of Colorado,1,1.0
Moffat,CO,Public Service Company of Colorado,2,0.5
Moffat,CO,WAPA (incl. Tri-State),2,0.5
Montezuma,CO,Public Service Company of Colorado,2,0.5
Montezuma,CO,WAPA (incl. Tri-State),2,0.5
Montrose,CO,Public Service Company of Colorado,2,0.5
Montrose,CO,WAPA (incl. Tri-State),2,0.5
Morgan,CO,Public Service Company of Colorado,2,0.5
Morgan,CO,WAPA (incl. Tri-State),2,0.5
Otero,CO,Public Service Company of Colorado,1,1.0
Ouray,CO,Public Service Company of Colorado,2,0.5
Ouray,CO,WAPA (incl. Tri-State),2,0.5
Park,CO,Public Service Company of Colorado,1,1.0
Phillips,CO,WAPA (incl. Tri-State),1,1.0
Pitkin,CO,Public Service Company of Colorado,1,1.0
Prowers,CO,Public Service Company of Colorado,1,1.0
Pueblo,CO,Public Service Company of Colorado,2,0.5
Pueblo,CO,WAPA (incl. Tri-State),2,0.5
Rio Blanco,CO,Public Service Company of Colorado,2,0.5
Rio Blanco,CO,WAPA (incl. Tri-State),2,0.5
Rio Grande,CO,Public Service Company of Colorado,1,1.0
Routt,CO,Public Service Company of Colorado,2,0.5
Routt,CO,WAPA (incl. Tri-State),2,0.5
Saguache,CO,Public Service Company of Colorado,2,0.5
Saguache,CO,WAPA (incl. Tri-State),2,0.5
San Juan,CO,WAPA (incl. Tri-State),1,1.0
San Miguel,CO,Public Service Company of Colorado,2,0.5
San Miguel,CO,WAPA (incl. Tri-State),2,0.5
Sedgwick,CO,WAPA (incl. Tri-State),1,1.0
Summit,CO,Public Service Company of Colorado,2,0.5
Summit,CO,WAPA (incl. Tri-State),2,0.5
Teller,CO,Colorado Springs Utilities,2,0.5
Teller,CO,Public Service Company of Colorado,2,0.5
Washington,CO,Public Service Company of Colorado,2,0.5
Washington,CO,WAPA (incl. Tri-State),2,0.5
Weld,CO,Public Service Company of Colorado,2,0.5
Weld,CO,WAPA (incl. Tri-State),2,0.5
Yuma,CO,Public Service Company of Colorado,2,0.5
Yuma,CO,WAPA (incl. Tri-State),2,0.5
