hour,Denver_Res_mw,Denver_Com_mw,Denver_Ind_mw,Denver_mw,East_Res_mw,East_Com_mw,East_Ind_mw,East_mw,Mountain_Res_mw,Mountain_Com_mw,Mountain_Ind_mw,Mountain_mw,North_Res_mw,North_Com_mw,North_Ind_mw,North_mw,South_Res_mw,South_Com_mw,South_Ind_mw,South_mw,West_Res_mw,West_Com_mw,West_Ind_mw,West_mw
1,2230.4832282254674,1173.0639307726774,491.738293296466,3895.285452294611,105.68851768572733,39.60963965272589,56.5683492541501,201.86650659260332,90.04765588206423,67.03640230031955,17.43985443982231,174.5239126222061,400.3302522933379,191.74965225903134,138.85136280675576,730.9312673591251,712.5648109456142,253.06641158157942,128.52618534842856,1094.157407875622,272.12369698372225,139.05792294443808,103.99695867939101,515.1785786075513
2,2874.1942085220635,1516.507115291969,462.9439005409304,4853.645224354963,129.66071916978422,50.64939990597021,53.25591398489951,233.56603306065392,113.80880997526994,85.36397436106238,16.41864046241734,215.59142479874964,501.4290842447508,239.81116902873637,130.72073574393997,871.9609890174271,895.6656324719689,322.3404278462715,121.00016284673534,1339.0062231649758,340.36405764098066,180.79894367192242,97.90727781780676,619.0702791307099
3,2169.449850224499,1349.5343355760176,450.68226362101296,3969.6664494215297,111.70384517818476,48.55427401159711,51.845365794593555,212.10348498437543,71.85546590920465,70.24752414286637,15.983772635379134,158.08676268745015,416.29739736595485,221.34055182906377,127.25843675323333,764.8963859482519,685.1631688321696,286.42750700082206,117.79532514967539,1089.3860009826672,240.70703337719826,159.9013629764264,95.31408349984147,495.92247985346614
4,2033.956168469013,1294.7058393725958,449.7549580598358,3778.4169659014447,119.0180793345315,46.94726013736808,51.738690871031395,217.704030342931,65.46640926625214,66.96784642207014,15.950885072566496,148.3851407608888,410.9123402638723,216.8152670523266,126.99659495107353,754.7242022672724,678.7108361304139,278.4679457173265,117.5529542624469,1074.7317361101873,212.29512038695043,152.42177531599137,95.1179691043519,459.8348648072937
5,2022.4022449996007,1281.5189352218176,424.67778971885303,3728.5989699402717,122.05422077313092,46.766043412810546,48.85387584572975,217.67414003167124,71.56349655263324,67.62790438777346,15.061505149156728,154.25290608956342,420.06611932295664,210.74216471816862,119.91559465691783,750.7238786980431,708.3905167251348,281.86975317105134,110.9985068457115,1101.2587767418977,214.60149509003713,153.36081560795395,89.81443819104756,457.77674888903863
6,2092.0449933646055,1281.537154247488,417.18125489360864,3790.7634025057023,122.1105760036261,46.248601992953496,47.991493139376935,216.35067113595653,76.10250959236127,69.60852366631725,14.795635116382,160.5066683750605,409.1595386347691,210.53480902867162,117.79880999523209,737.4931576586728,753.7937777601653,282.06197351144505,109.03912918984238,1144.8948804614529,226.46817463177274,157.1296813783797,88.22900782475813,471.82686383491057
7,2224.5124164601357,1393.570840302066,401.99722428588063,4020.0804810480827,129.2481072931611,48.24003601325287,46.244760053479524,223.7329033598935,81.72469778162424,73.14673412392565,14.257122482286748,169.12855438783666,413.414025916843,214.67170887145608,113.51131932890843,741.5970541172076,798.5441210809663,290.4800088320656,105.07046220004486,1194.0945921130767,237.11133862566285,163.78190464838795,85.01776105950678,485.91100433355757
8,2389.0580867802005,1578.9246313326214,402.25953535034193,4370.242253463164,135.8046350906182,51.69787686505288,46.274935665405536,233.77744762107662,90.21762299410256,84.64227378576301,14.266425534020819,189.12632231388636,432.3867537825238,242.42645041760358,113.5853876885954,788.3985918887226,854.2314477945482,324.91390985962187,105.13902273508859,1284.2843803892588,264.07774026852115,177.47883015874558,85.0732368141995,526.6298072414662
9,2592.387718245493,1919.2118429572088,396.6161631254903,4908.215724328192,146.74638434168384,61.75149227429811,45.62573617181614,254.1236127877981,99.30421089770489,100.38949030078615,14.066279253991713,213.75998045248278,467.172699377181,298.78051585497093,111.99187761437788,877.9450928465299,921.7501251281567,377.25419332538485,103.66400825187817,1402.6683267054198,311.2821818407633,214.56842929934052,83.8797288932565,609.7303400333603
10,2750.9116372981493,2114.2256445500443,418.87813281620066,5284.0154146643945,154.40155602061137,65.18005209694871,48.186697751821,267.7683058693811,105.68848728883202,109.98961393242828,14.855816119927134,230.53391734118745,497.9704704315634,332.92846581957406,118.27795472583486,949.1768909769723,983.1128674277394,412.97287207534066,109.48264406221624,1505.5683835652962,345.9043063238255,234.883972234141,88.58787786926244,669.3761564272289
11,2651.882654420549,2222.20207938774,424.56611107090896,5298.650844879198,151.22849439197972,73.56074304828935,48.84102861205434,273.6302660523234,105.3175083143997,107.02501683469887,15.057544385086223,227.4000695341848,506.7288527329987,351.83973488110655,119.88406013403271,978.4526477481379,952.78607541318,450.5714124168802,110.96931727312625,1514.3268051031864,336.46781347083305,238.4753240603198,89.790819449343,664.7339569804958
12,2408.128414725259,2275.4395298651907,434.55693326756955,5118.124877858019,136.7018240610265,78.7648865051379,49.990347928978224,265.45705849514263,90.10336302167995,105.2281047692802,15.411876124589087,210.74334391554925,502.8147797998353,374.4495963859742,122.70515276903308,999.9695289548426,838.1036506819453,453.16679893757794,113.58062959705184,1404.8510792165753,304.51615134713256,236.197099001493,91.90376273101019,632.6170130796357
13,2213.36644917871,2298.9692763449325,450.08031071629927,4962.416036239942,125.49248787738244,80.3830691367653,51.77611863078183,257.6516756449296,76.66202824764066,104.24027877223988,15.962423939983744,196.8647309598643,458.4746103984351,385.04352478708705,127.08846426521602,970.6065994507381,742.6915100386212,452.8060049128003,117.63799204859917,1313.1355070000209,273.01960193883525,232.79015374552117,95.18677742624124,600.9965331105977
14,2059.1013842655116,2266.8524987627866,440.5650934974311,4766.518976525729,118.84571930495052,79.829661827562,50.681511726654634,249.35689285916717,69.354871831006,104.88152590569419,15.624959875210767,189.86135761191096,434.8114012059395,386.99635038869656,124.4016674542839,946.20941904892,680.9278525017846,450.5729467287496,115.15098912738169,1246.651788357916,248.3597045835238,231.95245879450027,93.17441909371767,573.4865824717417
15,1884.308103052482,2202.230705886055,436.98641283352134,4523.525221772058,108.68665602260067,78.90146179319639,50.26982921092452,237.85794702672158,62.25234940838961,103.33017348618438,15.498039375595406,181.0805622701694,417.21047002926736,379.7919572057448,123.39116106499507,920.3935883000073,607.3949893847378,438.55142940531005,114.21562537682017,1160.1620441668679,224.30985967122348,230.4239791331214,92.41756954548251,547.1514083498274
16,1677.8160644736647,2101.2187812705715,424.86643165420537,4203.901277398441,94.2996353308777,76.58029148315636,48.87557674441603,219.7555035584501,57.54296866120432,101.6890767815621,15.06819547191304,174.30024091467945,380.5550506283365,368.681307515647,119.96886118133386,869.2052193253174,549.5492159427564,419.5744769408834,111.04781239843761,1080.1715052820775,196.12451746664198,226.37922481571587,89.85433377742649,512.3580760597844
17,1504.7939319577745,1986.317762255049,451.9019682791979,3943.0136624920215,85.69348384680579,73.2700544902631,51.98567758245246,210.94921591952135,50.77810675934683,96.77027690711529,16.02703034377463,163.57541401023676,367.62121406125783,360.5278381238866,127.60284282516113,855.7518950103056,523.2924739706135,405.23840092073533,118.11412071452212,1046.644995605871,185.09599147507913,219.13880045441533,95.57203692073122,499.80682885022566
18,1526.1810250903054,1923.5898019765345,441.54958794111803,3891.320415007958,93.59952335880075,69.21833619743677,50.794765516909436,213.61262507314694,51.96216688517546,94.10405892637708,15.659875683128869,161.72610149468142,375.28798667579315,351.35269827540515,124.67965759059243,851.3203425417908,530.3434654759079,384.34990550752354,115.40830753652075,1030.1016785199522,189.27821396591082,211.92995284715096,93.38262827607328,494.59079508913504
19,1821.3539019878515,1929.0109071911652,446.4295348829575,4196.794344061974,110.98413309767727,69.01380119534483,51.35614246621541,231.3540767592375,57.81348711685282,90.81091595748326,15.832946533009633,164.4573496073457,421.1759088751529,348.0542492870007,126.0576004771566,895.2877586393103,599.2430658702073,372.1430285190431,116.68378470331366,1088.069879092564,210.91481045721258,202.44528091532962,94.41468058395024,507.7747719564925
20,2255.68617110106,2054.774881599677,446.6363438554962,4757.097396556233,123.72330232983873,73.95511101350357,51.379933255639266,249.05834659898156,62.639940297550154,97.64509306616637,15.840281162887134,176.12531452660366,480.3936012149777,361.53623544314735,126.11599679908052,968.0458334572056,695.101767778116,392.65180995071324,116.7378385947811,1204.4914163236103,256.34752535078826,219.79254558299428,94.45841828846672,570.5984892222493
21,2497.098807373055,1995.4990275012756,454.45316277101915,4947.0509976453495,136.02158052686644,71.5567619976008,52.279160646505,259.8575031709722,68.74984157654649,97.35909216157695,16.117510302711274,182.2264440408347,524.6907408593822,350.0733062776713,128.32321957190538,1003.0872667089589,791.568028838011,384.4875733023163,118.78092926001406,1294.8365314003413,277.0896056408782,217.6804001678798,96.1115850335504,590.8815908423085
22,2568.256615466569,1892.0744885872236,480.01318815470626,4940.344292208499,139.74894951872264,70.47079225284755,55.21952234409936,265.4392641156695,71.41040264570049,95.59318877141575,17.024015100581305,184.02760651769754,533.4032502090079,336.3784961370069,135.54056344420886,1005.3223097902236,846.3139775741528,381.011880495582,125.46158155973993,1352.7874396294746,299.60730636339105,214.6781952576234,101.51723462380694,615.8027362448214
23,2587.9114103042516,1728.2352927142917,720.2214293480517,5036.368132366595,139.91193600385574,65.12459060814699,82.85248049844441,287.8890071104471,73.677383745413,90.11071403760951,25.54317421177144,189.33127199479395,540.375941007291,307.8584116074562,203.36778394298227,1051.6021365577294,868.2669633153395,370.78336003264445,188.24507707088324,1427.2954004188673,302.67003621069307,200.3276836412389,152.3184979672999,655.3162178192318
24,2509.2297053713874,1551.454071512414,711.0626701874041,4771.746447071206,135.6828925639016,58.5549966754678,81.79887964206,276.0367688814294,74.49814106569298,82.73789427094641,25.21835218999982,182.4543875266392,521.3741589862898,273.03098562163365,200.78163962920587,995.1867842371292,832.7059372028995,340.7969859092834,185.85124198931615,1359.3541651014991,304.8755623319116,174.48369795350155,150.38152638918828,629.7407866746014
25,2369.884121570343,1428.8838469435816,738.5649681160721,4537.332936629997,126.56804324343747,52.48759955988806,84.96267553863588,264.0183183419614,74.17990149482111,74.99030066057489,26.193741089288626,175.36394324468463,497.62958340317107,247.17509208535347,208.54741992285216,953.3520954113767,773.5952704459451,308.79612141001195,193.03954822715596,1275.430940083113,282.2648419656824,161.18860407820281,156.19794414689912,599.6513901907844
26,2175.4962827983854,1362.830856555479,716.273117144427,4254.600256498292,118.5150707883921,49.09234905069791,82.39827649045105,250.00569632954105,67.13715604850732,70.35705745173792,25.40314446209995,162.89735796234518,459.8983027120636,231.43894025013827,202.2529052814392,893.590148243641,719.7453872712377,292.4556398125008,187.21310231314237,1199.414129396881,255.35184407062792,160.34787608363456,151.48347562575907,567.1831957800216
27,2074.3214153124977,1305.4246071739024,703.7512896247472,4083.497312111147,116.59351612608384,48.43756096415146,80.9577966211999,245.9888737114352,65.1210716046548,66.11329267486637,24.95904878714279,156.19341306666396,428.61886514833367,217.67515496940604,198.71713668330312,845.0111568010428,674.5824309210005,278.615641174204,183.94025830925852,1137.138330404463,237.99883956186522,156.14380674065671,148.83525400684707,542.977900309369
28,2022.8694407669761,1270.4069908266774,731.8977751478554,4025.1742067415094,117.74397675767808,46.70552922697438,84.19569825516547,248.64520423981793,67.13998802354628,64.33510643497671,25.957284265663127,157.43237872418612,410.0577501184459,210.45582593076406,206.66481520739148,827.1783912566015,668.7862087798039,272.6178596216898,191.29693657606344,1132.7010049775572,226.18314103444212,154.54448314803952,154.78790998629913,535.5155341687807
29,2024.0768331960662,1254.2829627432081,729.1199020972151,4007.47969803649,122.56168123893315,46.53675331321837,83.87613865394162,252.9745732060931,70.44802336759543,64.16631134494396,25.85876498759205,160.47309970013146,424.7918715804572,205.77038300549788,205.88043159512515,836.4426861810803,649.9963400086523,266.1639696566404,190.57088080321,1106.7311904685027,235.39946415182044,155.53660207514625,154.2004219813943,545.136488208361
30,2084.602202860546,1268.1624271525727,757.4716358703304,4110.23626588345,120.90196207027569,46.28317402258334,87.13765153569587,254.32278762855486,76.17591800208874,67.19721495589961,26.864279743835823,170.23741270182416,429.92289679770647,206.37378026643043,213.8860657423889,850.1827428065258,651.1221160726799,264.5618916381861,197.9812050336962,1113.6652127445623,244.62894831658792,159.55800959301192,160.19648559060795,564.3834435002078
