year,co2_reduction_pct_vs_2005,co2_baseline_2005_mmt_co2,baseline_source,target_source
2026,67.2,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2027,70.4,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2028,73.6,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2029,76.8,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2030,80.0,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2031,81.0,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2032,82.0,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2033,83.0,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2034,84.0,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2035,85.0,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2036,86.0,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2037,87.0,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2038,88.0,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2039,89.0,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2040,90.0,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2041,91.0,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2042,92.0,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2043,93.0,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2044,94.0,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2045,95.0,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2046,96.0,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2047,97.0,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2048,98.0,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2049,99.0,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
2050,100.0,42.023,cdphe_2025_ghg_inventory_ch3_energy_jul2026_table3.3_co2_only_electric_power_subsector,sb19-236_hb21-1266_sb23-198_electric_utility_co2_target_linear_interpolation
