tech_class,atb_year,scenario,occ_per_kw,capex_per_kw,fixed_om_per_kw_yr,variable_om_per_mwh,heat_rate_mmbtu_per_mwh,atb_cf,debt_fraction,interest_rate_nominal,roe_nominal,tax_rate,wacc_nominal,crf,crf_source,crpyears,atb_technology,atb_techdetail,tax_credit_case,financing_source,hybrid_solar_occ_share,hybrid_battery_occ_share
Solar:PV,2022,Moderate,1366.6,1482.68,23.77,,,0.2626,0.5206,0.07,0.085,0.2574,0.0678,0.0574,atb_published,30,UtilityPV,Class5,PTC,Solar:PV,,
Solar:PV,2023,Moderate,1434.79,1610.9,22.22,,,0.2642,0.5333,0.07,0.085,0.2574,0.0674,0.0584,atb_published,30,UtilityPV,Class5,PTC,Solar:PV,,
Solar:PV,2024,Moderate,1378.92,1551.27,21.61,,,0.2659,0.5244,0.07,0.085,0.2574,0.0677,0.059,atb_published,30,UtilityPV,Class5,PTC,Solar:PV,,
Solar:PV,2025,Moderate,1323.05,1491.64,21.0,,,0.2675,0.515,0.07,0.085,0.2574,0.068,0.0592,atb_published,30,UtilityPV,Class5,PTC,Solar:PV,,
Solar:PV,2026,Moderate,1267.18,1432.01,20.4,,,0.2692,0.505,0.07,0.085,0.2574,0.0683,0.0594,atb_published,30,UtilityPV,Class5,PTC,Solar:PV,,
Solar:PV,2027,Moderate,1211.31,1372.38,19.79,,,0.2708,0.4941,0.07,0.085,0.2574,0.0687,0.0597,atb_published,30,UtilityPV,Class5,PTC,Solar:PV,,
Solar:PV,2028,Moderate,1155.44,1312.74,19.19,,,0.2725,0.4824,0.07,0.085,0.2574,0.0691,0.06,atb_published,30,UtilityPV,Class5,PTC,Solar:PV,,
Solar:PV,2029,Moderate,1099.57,1253.11,18.59,,,0.2741,0.4698,0.07,0.085,0.2574,0.0695,0.0602,atb_published,30,UtilityPV,Class5,PTC,Solar:PV,,
Solar:PV,2030,Moderate,1043.7,1193.48,17.99,,,0.2758,0.4561,0.07,0.085,0.2574,0.0699,0.0606,atb_published,30,UtilityPV,Class5,PTC,Solar:PV,,
Solar:PV,2031,Moderate,987.83,1133.85,17.39,,,0.2774,0.4412,0.07,0.085,0.2574,0.0704,0.0609,atb_published,30,UtilityPV,Class5,PTC,Solar:PV,,
Solar:PV,2032,Moderate,931.96,1074.22,16.8,,,0.2791,0.425,0.07,0.085,0.2574,0.071,0.0613,atb_published,30,UtilityPV,Class5,PTC,Solar:PV,,
Solar:PV,2033,Moderate,876.09,1014.59,16.2,,,0.2807,0.4072,0.07,0.085,0.2574,0.0716,0.0617,atb_published,30,UtilityPV,Class5,PTC,Solar:PV,,
Solar:PV,2034,Moderate,820.22,954.95,15.61,,,0.2824,0.3875,0.07,0.085,0.2574,0.0722,0.0622,atb_published,30,UtilityPV,Class5,PTC,Solar:PV,,
Solar:PV,2035,Moderate,764.35,895.32,15.02,,,0.284,0.3658,0.07,0.085,0.2574,0.0729,0.0627,atb_published,30,UtilityPV,Class5,PTC,Solar:PV,,
Solar:PV,2036,Moderate,750.68,881.16,14.87,,,0.2852,0.3591,0.07,0.085,0.2574,0.0731,0.0628,atb_published,30,UtilityPV,Class5,PTC,Solar:PV,,
Solar:PV,2037,Moderate,737.01,867.0,14.72,,,0.2863,0.3523,0.07,0.085,0.2574,0.0734,0.063,atb_published,30,UtilityPV,Class5,PTC,Solar:PV,,
