plant_id_eia,om_kw,source,avg_commission_year,capacity_mw
508,20.0,lbnl_wind_2024,2004.0,5.5
56173,20.0,lbnl_wind_2024,2003.0,162.0
56320,20.0,lbnl_wind_2024,2006.0,60.0
56371,20.0,lbnl_wind_2024,2007.0,300.5
56460,20.0,lbnl_wind_2024,2007.0,75.0
56563,20.0,lbnl_wind_2024,2007.0,199.5
56613,20.0,lbnl_wind_2024,2007.0,201.0
57174,21.0,lbnl_wind_2024,2012.3,96.1
57210,21.0,lbnl_wind_2024,2011.0,248.3
57244,21.0,lbnl_wind_2024,2010.0,51.0
57290,20.0,lbnl_wind_2024,2009.0,174.3
57315,21.0,lbnl_wind_2024,2011.0,252.0
57643,21.0,lbnl_wind_2024,2010.0,1.8
57980,14.91,form1_wind,2012.0,29.0
58126,21.0,lbnl_wind_2024,2012.0,200.0
58127,21.0,lbnl_wind_2024,2012.0,200.0
58548,21.0,lbnl_wind_2024,2013.0,8.0
58769,21.0,lbnl_wind_2024,2014.0,62.6
59083,21.0,lbnl_wind_2024,2014.0,200.6
59974,21.0,lbnl_wind_2024,2015.0,250.0
59975,21.0,lbnl_wind_2024,2015.0,150.0
60143,31.71,form1_wind,2016.0,60.8
60619,22.97,form1_wind,2018.0,582.3
61040,21.0,lbnl_wind_2024,2017.0,75.0
62445,21.0,lbnl_wind_2024,2019.0,59.4
62489,18.0,lbnl_wind_2024,2021.0,104.0
62840,18.0,lbnl_wind_2024,2020.0,171.7
62952,21.73,form1_wind,2020.0,477.1
63803,18.0,lbnl_wind_2024,2020.0,299.0
64872,18.0,lbnl_wind_2024,2022.0,145.0
65059,18.0,lbnl_wind_2024,2021.0,205.0
66014,18.0,lbnl_wind_2024,2023.0,199.0
67160,20.0,lbnl_wind_2024,2004.0,1.5
