resource_name,zone,tech_type,status_category,group_type,is_grouped,unit_count,nameplate_mw,summer_mw,storage_mwh,max_charge_mw,max_discharge_mw,commission_date,retirement_date,encompass_cf_shape,plant_codes,generator_ids,plant_name,energy_source,prime_mover,ba_code,filter_source
Denver_PSCO_GasCC_small,Denver,Gas:CC,operating,small_group,True,2,52.8,45.5,,,,,,,54372; 55200,ST1; UN7,,NG,CA,PSCO,CO+BA
cherokee__7,Denver,Gas:CC,operating,large_thermal,False,1,255.0,240.0,,,,2015-08-01,,,469,7,Cherokee,NG,CA,PSCO,CO+BA
Denver_PSCO_GasCT_small,Denver,Gas:CT,operating,small_group,True,9,529.9,361.0,,,,,,,477; 54372; 55200; 55207; 55505,6; BR1; BR2; GT1; GT2; UN5; UN6; UN7; UN8,,NG,GT,PSCO,CO+BA
blue_spruce_energy_center__CT01,Denver,Gas:CT,operating,large_thermal,False,1,198.9,130.0,,,,2003-05-01,,,55645,CT01,Blue Spruce Energy Center,NG,GT,PSCO,CO+BA
blue_spruce_energy_center__CT02,Denver,Gas:CT,operating,large_thermal,False,1,198.9,134.0,,,,2003-05-01,,,55645,CT02,Blue Spruce Energy Center,NG,GT,PSCO,CO+BA
canyon_peak_power_station_GasCT_proposed,Denver,Gas:CT,proposed,proposed,True,6,156.6,133.2,,,,,,,68741,CPP_1; CPP_2; CPP_3; CPP_4; CPP_5; CPP_6,,NG,GT,WACM,CO+BA
cherokee__5,Denver,Gas:CT,operating,large_thermal,False,1,185.3,168.0,,,,2015-08-01,,,469,5,Cherokee,NG,CT,PSCO,CO+BA
cherokee__6,Denver,Gas:CT,operating,large_thermal,False,1,185.3,168.0,,,,2015-08-01,,,469,6,Cherokee,NG,CT,PSCO,CO+BA
Denver_PSCO_GasIC_small,Denver,Gas:IC,operating,small_group,True,36,235.60000000000002,226.31999999999996,,,,,,,55650; 56516; 65898,2G01; 2G02; 2G03; 2G04; 2G05; 2G06; 2G07; 2G08; 2G09; 2G10; 2G11; 2G12; 2G13; 2G14; GE10; GE11; GE12; GE13; GE14; GE15; GE16; GE17; GE18; GE19; GE20; GEN1; GEN2; GEN3; GEN4; GEN5; GEN6; GEN7; GEN8; GEN9; T0041; T0042,,NG,IC,PSCO,CO+BA
Denver_PSCO_GasST_small,Denver,Gas:ST,operating,small_group,True,3,35.0,40.0,,,,,,,10003,GEN1; GEN2; GEN3,,NG,ST,PSCO,CO+BA
cherokee__4,Denver,Gas:ST,operating,large_thermal,False,1,380.8,310.0,,,,1968-06-01,2027-12-01,,469,4,Cherokee,NG,ST,PSCO,CO+BA
Denver_PSCO_Hydro_small,Denver,Hydro,operating,small_group,True,9,22.0,22.400000000000002,,,,,,,10081; 10424; 472; 54142; 54679; 54680; 55931,0001; 1; 2; GEN1; GEN2,,WAT,HY,PSCO,CO+BA
Denver_WACM_Hydro_small,Denver,Hydro,operating,small_group,True,1,3.1,3.1,,,,,,,10070,GEN1,,WAT,HY,WACM,CO+BA
cabin_creek__A,Denver,Hydro:Pumped,operating,individual_tech,False,1,150.0,170.0,,,,1967-06-01,,,467,A,Cabin Creek,WAT,PS,PSCO,CO+BA
cabin_creek__B,Denver,Hydro:Pumped,operating,individual_tech,False,1,150.0,170.0,,,,1967-06-01,,,467,B,Cabin Creek,WAT,PS,PSCO,CO+BA
Denver_PSCO_Other_small,Denver,Other,operating,small_group,True,8,14.2,10.600000000000001,,,,,,,10180; 56530,3; 4; 5; 6; GEN1; GEN2; GEN3; GEN4,,OBG,IC,PSCO,CO+BA
Denver_PSCO_SolarPV_existing,Denver,Solar:PV,operating,renewable_zone,True,42,296.59999999999997,296.5,,,,,,Denver_Solar_CF,56815; 57645; 57681; 59849; 59850; 60320; 60724; 60725; 60726; 60764; 61439; 61563; 61752; 61753; 61811; 61991; 62243; 62245; 62252; 62253; 62254; 62256; 62667; 62877; 63276; 63277; 63278; 63536; 63869; 64200; 64388; 64880; 65178; 65231; 65235; 65236; 65237; 65806; 67201; 67441; 67446,1; 23376; 23377; 528; 53962; 53964; 53965; 53966; 53967; 53968; 53970; 724; 75020; 75021; 75023; 75024; ADCO1; ADCO2; ADEN3; ARAP3; BLD3; DGIBM; HCO; JSG; LFHSL; MTNS4; PANPV; PCEC; PI-QF; PV1; PV2; SC; SSCO1; TRUCO; X0056; X0133,,SUN,PV,PSCO,CO+BA
Denver_SWPP_SolarPV_existing,Denver,Solar:PV,operating,renewable_zone,True,8,19.5,19.5,,,,,,Denver_Solar_CF,59462; 59807; 64831; 66736; 66737; 66738; 66739; 66740,DIA4; DIA7; GBDIA; P4159; P4161; P4162; P4347; P4581,,SUN,PV,SWPP,CO_only
Denver_WACM_SolarPV_existing,Denver,Solar:PV,operating,renewable_zone,True,3,8.3,8.3,,,,,,Denver_Solar_CF,59144; 62664; 68944,15755; PI21; SO393,,SUN,PV,WACM,CO+BA
Denver_PSCO_battery_4hr_small,Denver,Storage:Battery,operating,small_battery,True,2,15.6,15.6,62.6,15.6,15.6,,,,67301; 67307,PKWBA; PLVBA,,MWH,BA,PSCO,CO+BA
Denver_WACM_battery_4hr_small,Denver,Storage:Battery,operating,small_battery,True,1,11.8,11.8,47.0,11.8,11.8,,,,67305,BROBA,,MWH,BA,WACM,CO+BA
Denver_WACM_battery_7hr_small,Denver,Storage:Battery,operating,small_battery,True,1,35.4,33.7,235.0,35.4,35.4,,,,68058,PCEBS,,MWH,BA,WACM,CO+BA
East_WACM_GasCT_small,East,Gas:CT,operating,small_group,True,2,154.2,134.0,,,,,,,55504,L1; L2,,NG,GT,WACM,CO+BA
East_PSCO_GasIC_small,East,Gas:IC,operating,small_group,True,5,10.0,10.0,,,,,,,6516,IC1A; IC2; IC3; IC4; IC5,,DFO,IC,PSCO,CO+BA
East_WACM_GasIC_small,East,Gas:IC,operating,small_group,True,16,14.0,12.700000000000001,,,,,,,502; 504; 507; 8100,1; 2; 3; 4; 5; 6; CAT; EMD; IC4; IC5,,DFO,IC,WACM,CO+BA
East_WACM_Other_small,East,Other,operating,small_group,True,2,129.4,100.0,,,,,,,6619,1; 2,,DFO,GT,WACM,CO+BA
East_PSCO_SolarPV_existing,East,Solar:PV,operating,renewable_zone,True,4,12.1,12.1,,,,,,East_Solar_CF,59198; 60722; 61606; 67465,1; CBEP1; LOGA1; STER3,,SUN,PV,PSCO,CO+BA
East_WACM_SolarPV_existing,East,Solar:PV,operating,renewable_zone,True,8,14.5,14.5,,,,,,East_Solar_CF,63092; 64352; 64353; 64355; 64356; 64359; 68941; 68945,BHC3; PI37; RIVER; SC,,SUN,PV,WACM,CO+BA
sundance_co_SolarPV_proposed,East,Solar:PV,proposed,proposed,False,1,74.9,74.9,,,,,,East_Solar_CF,67666,SUNDN,Sundance (CO),SUN,PV,PSCO,CO+BA
East_Wind_pt1_PSCO_existing,East,Wind,operating,renewable_zone,True,5,244.5,244.0,,,,,,East_Wind_pt1_CF,508; 56173; 56460; 67160,CG; T1-T3; T1S; T4; WT1,,WND,WT,PSCO,CO+BA
East_Wind_pt1_WACM_existing,East,Wind,operating,renewable_zone,True,1,75.0,75.0,,,,,,East_Wind_pt1_CF,61040,WT1,,WND,WT,WACM,CO+BA
East_Wind_pt2_PSCO_existing,East,Wind,operating,renewable_zone,True,7,1952.6,1932.9,,,,,,East_Wind_pt2_CF,57315; 58126; 58127; 59083; 60619; 63803; 66014,1; 1-139; GEN1; WBOPL; WBOPT; WT1,,WND,WT,PSCO,CO+BA
East_Wind_pt2_WACM_existing,East,Wind,operating,renewable_zone,True,1,104.0,104.0,,,,,,East_Wind_pt2_CF,62489,GEN1,,WND,WT,WACM,CO+BA
