resource_set,technology,year,accredited_capacity_pct,accredited_capacity_pct_raw,interpolated,source
existing,Solar:PV,2026,13.74,11.18,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Solar:PV,2028,13.16,16.29,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Solar:PV,2030,13.45,12.02,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Solar:PV,2032,10.62,12.04,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Solar:PV,2034,7.59,7.81,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Solar:PV,2036,4.5,2.91,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Solar:PV,2038,2.8,2.78,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Solar:PV,2040,2.68,2.71,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Solar:PV,2042,2.61,2.56,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Solar:PV,2044,2.57,2.56,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Solar:PV,2046,2.56,2.59,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Solar:PV,2048,2.53,2.52,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Solar:PV,2050,2.5,2.48,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Wind,2026,23.78,13.81,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Wind,2028,25.41,33.76,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Wind,2030,32.82,28.67,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Wind,2032,30.88,36.02,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Wind,2034,37.73,27.96,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Wind,2036,41.85,49.21,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Wind,2038,49.68,48.38,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Wind,2040,52.25,51.46,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Wind,2042,50.59,56.92,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Wind,2044,50.83,43.39,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Wind,2046,47.79,52.19,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Wind,2048,50.77,47.78,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Wind,2050,50.06,52.34,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
existing,Storage:Battery,2026,79.05,79.05,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_flat_median
existing,Storage:Battery,2028,79.05,79.05,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_flat_median
existing,Storage:Battery,2030,79.05,79.05,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_flat_median
existing,Storage:Battery,2032,79.05,79.05,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_flat_median
existing,Storage:Battery,2034,79.05,79.05,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_flat_median
existing,Storage:Battery,2036,79.05,79.05,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_flat_median
existing,Storage:Battery,2038,79.05,79.05,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_flat_median
existing,Storage:Battery,2040,79.05,79.05,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_flat_median
existing,Storage:Battery,2042,79.05,79.05,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_flat_median
existing,Storage:Battery,2044,79.05,79.05,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_flat_median
existing,Storage:Battery,2046,79.05,79.05,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_flat_median
existing,Storage:Battery,2048,79.05,79.05,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_flat_median
existing,Storage:Battery,2050,79.05,79.05,False,nrel_avg_cc_mid_case_reeds_p33_p34_statewide_blend_flat_median
candidate,Solar:PV,2026,0.0,0.0,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Solar:PV,2028,0.0,0.0,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Solar:PV,2030,0.0,0.0,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Solar:PV,2032,0.0,0.0,True,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Solar:PV,2034,0.0,0.0,True,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Solar:PV,2036,0.0,0.0,True,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Solar:PV,2038,0.0,0.0,True,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Solar:PV,2040,0.0,0.0,True,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Solar:PV,2042,0.0,0.0,True,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Solar:PV,2044,0.0,0.0,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Solar:PV,2046,0.0,0.0,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Solar:PV,2048,0.0,0.0,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Solar:PV,2050,0.0,0.0,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Wind,2026,19.73,14.85,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Wind,2028,20.8,24.6,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Wind,2030,23.71,22.96,False,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Wind,2032,23.56,23.56,True,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Wind,2034,24.16,24.16,True,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Wind,2036,24.76,24.76,True,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Wind,2038,25.36,25.36,True,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
candidate,Wind,2040,25.96,25.96,True,nrel_mar_cc_mid_case_reeds_p33_p34_statewide_blend_3yr_smoothed
