BA,year,reference_margin_pct,source
PSCo,2026,17.8,nerc_ltra_2025_wecc_rocky_mountain
PSCo,2027,17.0,nerc_ltra_2025_wecc_rocky_mountain
PSCo,2028,16.2,nerc_ltra_2025_wecc_rocky_mountain
PSCo,2029,16.1,nerc_ltra_2025_wecc_rocky_mountain
PSCo,2030,15.7,nerc_ltra_2025_wecc_rocky_mountain
PSCo,2031,15.2,nerc_ltra_2025_wecc_rocky_mountain
PSCo,2032,13.5,nerc_ltra_2025_wecc_rocky_mountain
PSCo,2033,11.9,nerc_ltra_2025_wecc_rocky_mountain
PSCo,2034,14.1,nerc_ltra_2025_wecc_rocky_mountain
PSCo,2035,13.9,nerc_ltra_2025_wecc_rocky_mountain
PSCo,2036,13.9,flat_held_from_2035
PSCo,2037,13.9,flat_held_from_2035
PSCo,2038,13.9,flat_held_from_2035
PSCo,2039,13.9,flat_held_from_2035
PSCo,2040,13.9,flat_held_from_2035
PSCo,2041,13.9,flat_held_from_2035
PSCo,2042,13.9,flat_held_from_2035
PSCo,2043,13.9,flat_held_from_2035
PSCo,2044,13.9,flat_held_from_2035
PSCo,2045,13.9,flat_held_from_2035
PSCo,2046,13.9,flat_held_from_2035
PSCo,2047,13.9,flat_held_from_2035
PSCo,2048,13.9,flat_held_from_2035
PSCo,2049,13.9,flat_held_from_2035
PSCo,2050,13.9,flat_held_from_2035
WACM,2026,17.8,nerc_ltra_2025_wecc_rocky_mountain
WACM,2027,17.0,nerc_ltra_2025_wecc_rocky_mountain
WACM,2028,16.2,nerc_ltra_2025_wecc_rocky_mountain
WACM,2029,16.1,nerc_ltra_2025_wecc_rocky_mountain
WACM,2030,15.7,nerc_ltra_2025_wecc_rocky_mountain
WACM,2031,15.2,nerc_ltra_2025_wecc_rocky_mountain
WACM,2032,13.5,nerc_ltra_2025_wecc_rocky_mountain
WACM,2033,11.9,nerc_ltra_2025_wecc_rocky_mountain
WACM,2034,14.1,nerc_ltra_2025_wecc_rocky_mountain
WACM,2035,13.9,nerc_ltra_2025_wecc_rocky_mountain
WACM,2036,13.9,flat_held_from_2035
WACM,2037,13.9,flat_held_from_2035
WACM,2038,13.9,flat_held_from_2035
WACM,2039,13.9,flat_held_from_2035
WACM,2040,13.9,flat_held_from_2035
WACM,2041,13.9,flat_held_from_2035
WACM,2042,13.9,flat_held_from_2035
WACM,2043,13.9,flat_held_from_2035
WACM,2044,13.9,flat_held_from_2035
WACM,2045,13.9,flat_held_from_2035
WACM,2046,13.9,flat_held_from_2035
WACM,2047,13.9,flat_held_from_2035
WACM,2048,13.9,flat_held_from_2035
WACM,2049,13.9,flat_held_from_2035
WACM,2050,13.9,flat_held_from_2035
