from_zone,to_zone,boundary_type,n_crossing_lines,n_excluded_missing_voltage,n_status_unverified,raw_sum_mw,largest_line_mw,transfer_limit_mw,source
West,FourCorners,external,3,0,3,1555.6,1105.5,315.0,hifld_voltage_sil_medium_line_n1_stability_derate
West,Utah,external,8,0,7,1118.8,622.8,347.2,hifld_voltage_sil_medium_line_n1_stability_derate
South,West,internal,2,0,2,363.1,272.3,63.5,hifld_voltage_sil_medium_line_n1_stability_derate
East,South,internal,7,0,7,994.4,302.5,484.4,hifld_voltage_sil_medium_line_n1_stability_derate
East,North,internal,7,0,7,1245.3,400.3,591.5,hifld_voltage_sil_medium_line_n1_stability_derate
East,Nebraska,external,7,0,7,1044.0,417.6,438.5,hifld_voltage_sil_medium_line_n1_stability_derate
Denver,South,internal,8,0,7,3024.1,723.6,1610.4,hifld_voltage_sil_medium_line_n1_stability_derate
Mountain,South,internal,5,0,5,1394.4,417.6,683.8,hifld_voltage_sil_medium_line_n1_stability_derate
Denver,East,internal,5,0,5,1769.1,1105.5,464.5,hifld_voltage_sil_medium_line_n1_stability_derate
Mountain,West,internal,8,0,8,1720.9,347.9,961.1,hifld_voltage_sil_medium_line_n1_stability_derate
Denver,Mountain,internal,2,0,2,522.0,417.6,73.1,hifld_voltage_sil_medium_line_n1_stability_derate
Denver,North,internal,24,0,24,6786.4,971.3,4070.5,hifld_voltage_sil_medium_line_n1_stability_derate
South,NewMexico,external,2,0,2,324.9,220.5,73.1,hifld_voltage_sil_medium_line_n1_stability_derate
Mountain,North,internal,1,0,1,37.2,37.2,0.0,hifld_voltage_sil_medium_line_n1_stability_derate
Mountain,Wyoming,external,2,0,2,504.8,263.7,168.8,hifld_voltage_sil_medium_line_n1_stability_derate
North,West,internal,1,0,1,421.5,421.5,0.0,hifld_voltage_sil_medium_line_n1_stability_derate
North,Wyoming,external,7,0,7,2031.5,587.0,1011.1,hifld_voltage_sil_medium_line_n1_stability_derate
East,EasternInterconnect,external,1,0,0,210.0,210.0,210.0,named_hvdc_tie_rated_ttc
