year,carrier,component,gwh
2030,Wind,Generator,57407.43881797573
2030,Solar:PV,Generator,9086.132313186157
2030,Hydro,Generator,5774.363524897915
2030,Coal,Generator,5171.212260104927
2030,Gas:CC,Generator,6.363097852805646
2030,Gas:CT,Generator,0.0
2030,Gas:IC,Generator,0.0
2030,Gas:ST,Generator,0.0
2030,Geothermal,Generator,0.0
2030,Nuclear:SMR,Generator,0.0
2030,Solar+Storage,Generator,0.0
2030,import,Generator,-19742.282430562667
2030,Storage:Battery,StorageUnit,358.5416873823979
2030,Hydro:Pumped,StorageUnit,260.50104740823923
2030,Solar+Storage,StorageUnit,0.0
2035,Wind,Generator,58779.615564563836
2035,Solar:PV,Generator,8267.856186648813
2035,Hydro,Generator,5555.639417220031
2035,Gas:CC,Generator,43.50271214159168
2035,Gas:CT,Generator,20.200228478556333
2035,Gas:IC,Generator,0.9041453760431725
2035,Geothermal,Generator,0.0
2035,Nuclear:SMR,Generator,0.0
2035,Solar+Storage,Generator,0.0
2035,import,Generator,-15263.350150158522
2035,Storage:Battery,StorageUnit,666.8549902652829
2035,Hydro:Pumped,StorageUnit,316.2764536540326
2035,Solar+Storage,StorageUnit,0.0
2040,Wind,Generator,57271.084948484684
2040,Solar:PV,Generator,15463.13028744814
2040,Hydro,Generator,5403.978918300074
2040,Gas:CC,Generator,30.853856153989177
2040,Gas:CT,Generator,18.836084074244862
2040,Geothermal,Generator,0.0
2040,Nuclear:SMR,Generator,0.0
2040,Solar+Storage,Generator,0.0
2040,import,Generator,-20547.02671233454
2040,Storage:Battery,StorageUnit,832.5178941813639
2040,Hydro:Pumped,StorageUnit,376.72788964266425
2040,Solar+Storage,StorageUnit,0.0
2045,Wind,Generator,58351.70685089887
2045,Solar:PV,Generator,15414.880551694308
2045,Hydro,Generator,5413.373404058881
2045,Gas:CT,Generator,70.731782136691
2045,Gas:CC,Generator,53.326547578621536
2045,Geothermal,Generator,0.0
2045,Nuclear:SMR,Generator,0.0
2045,Solar+Storage,Generator,0.0
2045,import,Generator,-18853.683332709395
2045,Storage:Battery,StorageUnit,1222.1139006517374
2045,Hydro:Pumped,StorageUnit,396.5461956511647
2045,Solar+Storage,StorageUnit,0.0
2050,Wind,Generator,65171.46972641972
2050,Solar:PV,Generator,17048.80218316103
2050,Hydro,Generator,5219.777575588327
2050,Gas:CT,Generator,352.8859103556456
2050,Gas:CC,Generator,0.0
2050,Geothermal,Generator,0.0
2050,Nuclear:SMR,Generator,0.0
2050,Solar+Storage,Generator,0.0
2050,import,Generator,-25722.97036512032
2050,Storage:Battery,StorageUnit,2585.1894545599607
2050,Hydro:Pumped,StorageUnit,430.36007861706304
2050,Solar+Storage,StorageUnit,0.0
