year,interface,co_bus,far_bus,twh
2030,Link_West_FourCorners,West,FourCorners,3.9217186836015636
2030,Link_West_Utah,West,Utah,2.9602995315516325
2030,Link_East_Nebraska,East,Nebraska,3.9287386888649354
2030,Link_South_NewMexico,South,NewMexico,0.9696982088371554
2030,Link_Mountain_Wyoming,Mountain,Wyoming,0.8484066315357052
2030,Link_North_Wyoming,North,Wyoming,6.4122644688622135
2030,Link_East_EasternInterconnect,East,EasternInterconnect,0.7011562173094621
2030,total,,,19.742282430562668
2035,Link_West_FourCorners,West,FourCorners,2.460251276965168
2035,Link_West_Utah,West,Utah,1.7445762235683067
2035,Link_East_Nebraska,East,Nebraska,3.696687420045965
2035,Link_South_NewMexico,South,NewMexico,0.6988471174174051
2035,Link_Mountain_Wyoming,Mountain,Wyoming,0.7414284466661921
2035,Link_North_Wyoming,North,Wyoming,5.153285831108619
2035,Link_East_EasternInterconnect,East,EasternInterconnect,0.7682738343868657
2035,total,,,15.263350150158523
2040,Link_West_FourCorners,West,FourCorners,4.451092521484291
2040,Link_West_Utah,West,Utah,2.750404241598901
2040,Link_East_Nebraska,East,Nebraska,3.960616292207555
2040,Link_South_NewMexico,South,NewMexico,0.8848499994801428
2040,Link_Mountain_Wyoming,Mountain,Wyoming,1.2034807376369487
2040,Link_North_Wyoming,North,Wyoming,6.507001456200217
2040,Link_East_EasternInterconnect,East,EasternInterconnect,0.7895814637264847
2040,total,,,20.54702671233454
2045,Link_West_FourCorners,West,FourCorners,3.513720737935971
2045,Link_West_Utah,West,Utah,2.365559681572831
2045,Link_East_Nebraska,East,Nebraska,4.6040754252973795
2045,Link_South_NewMexico,South,NewMexico,0.7086383087569752
2045,Link_Mountain_Wyoming,Mountain,Wyoming,1.0215862537272247
2045,Link_North_Wyoming,North,Wyoming,5.727285887751277
2045,Link_East_EasternInterconnect,East,EasternInterconnect,0.9128170376677367
2045,total,,,18.853683332709394
2050,Link_West_FourCorners,West,FourCorners,4.995329977781027
2050,Link_West_Utah,West,Utah,3.604551974172879
2050,Link_East_Nebraska,East,Nebraska,5.474259873584412
2050,Link_South_NewMexico,South,NewMexico,1.2196242085746853
2050,Link_Mountain_Wyoming,Mountain,Wyoming,1.2725710144508253
2050,Link_North_Wyoming,North,Wyoming,8.035620663154619
2050,Link_East_EasternInterconnect,East,EasternInterconnect,1.121012653401874
2050,total,,,25.72297036512032
