year,bus,mean_lmp
2030,Denver,27.300390734868675
2030,North,27.300390734868675
2030,South,27.300390734868675
2030,Mountain,32.486497825243525
2030,East,24.33712150227021
2030,West,32.486497825243525
2030,Wyoming,32.67357040000001
2030,Utah,32.67357040000001
2030,FourCorners,32.67357040000002
2030,NewMexico,32.67357040000002
2030,Nebraska,32.67357040000002
2030,EasternInterconnect,32.67357040000002
2035,Denver,30.5256204425086
2035,North,30.5256204425086
2035,South,30.5256204425086
2035,Mountain,37.15990738920737
2035,East,25.132148943449767
2035,West,37.14219828684633
2035,Wyoming,37.2122683
2035,Utah,37.2122683
2035,FourCorners,37.2122683
2035,NewMexico,37.2122683
2035,Nebraska,37.2122683
2035,EasternInterconnect,37.2122683
2040,Denver,31.217841235546828
2040,North,31.217841235546828
2040,South,31.1989757994833
2040,Mountain,37.696582704906035
2040,East,27.556553124345996
2040,West,37.679025657164196
2040,Wyoming,38.281212999999994
2040,Utah,38.281212999999994
2040,FourCorners,38.281212999999994
2040,NewMexico,38.281212999999994
2040,Nebraska,38.281212999999994
2040,EasternInterconnect,38.281212999999994
2045,Denver,29.926876265608925
2045,North,29.793510805515595
2045,South,29.84478987162423
2045,Mountain,35.35507445728816
2045,East,24.26621842253166
2045,West,35.26769729408417
2045,Wyoming,36.50669299999999
2045,Utah,36.50669299999999
2045,FourCorners,36.50669299999999
2045,NewMexico,36.50669299999999
2045,Nebraska,36.50669299999999
2045,EasternInterconnect,36.50669299999999
2050,Denver,28.964654346447993
2050,North,27.59632507464063
2050,South,28.686355508368724
2050,Mountain,33.94576497622233
2050,East,23.463791525640527
2050,West,33.88963219231948
2050,Wyoming,35.4415442
2050,Utah,35.4415442
2050,FourCorners,35.4415442
2050,NewMexico,35.4415442
2050,Nebraska,35.4415442
2050,EasternInterconnect,35.4415442
