year,carrier,existing,vintage,new_build,total
2030,Wind,5307.0,0.0,9797.851237986226,15104.851237986226
2030,Gas:CT,3191.4,0.0,1780.0062341768353,4971.406234176835
2030,Solar:PV,4659.66,0.0,0.0,4659.66
2030,Gas:CC,2799.2258064516127,0.0,0.0,2799.2258064516127
2030,Storage:Battery,1202.3,0.0,0.0,1202.3
2030,Coal,750.0,0.0,0.0,750.0
2030,Hydro,687.6,0.0,0.0,687.6
2030,Gas:ST,602.0,0.0,0.0,602.0
2030,Hydro:Pumped,578.5,0.0,0.0,578.5
2030,Gas:IC,278.62,0.0,0.0,278.62
2035,Wind,5307.0,9797.851237986228,1360.976707845898,16465.827945832127
2035,Gas:CT,1794.2,1780.0062341768353,5898.320070231695,9472.52630440853
2035,Solar:PV,4659.66,0.0,0.0,4659.66
2035,Storage:Battery,1198.1,0.0,217.55299639290035,1415.6529963929001
2035,Gas:CC,764.0,0.0,0.0,764.0
2035,Hydro,687.6,0.0,0.0,687.6
2035,Hydro:Pumped,578.5,0.0,0.0,578.5
2035,Gas:IC,226.32,0.0,0.0,226.32
2040,Wind,5063.0,11158.827945832125,177.37575905658196,16399.203704888707
2040,Gas:CT,1116.2,7678.326304408531,2662.294870302895,11456.821174711426
2040,Solar:PV,4659.66,0.0,4054.2650514272573,8713.925051427257
2040,Storage:Battery,856.0,217.55299639290035,303.03886677059927,1376.5918631634995
2040,Gas:CC,764.0,0.0,0.0,764.0
2040,Hydro,667.7,0.0,0.0,667.7
2040,Hydro:Pumped,578.5,0.0,0.0,578.5
2045,Wind,3008.2000000000003,11336.203704888707,2015.8732370867442,16360.276941975451
2045,Gas:CT,936.2,10340.621174711427,3633.6199362569405,14910.441110968368
2045,Solar:PV,4659.66,4054.2650514272573,444.92313187609756,9158.848183303355
2045,Storage:Battery,0.0,520.5918631634996,583.5237228991848,1104.1155860626845
2045,Hydro,667.7,0.0,0.0,667.7
2045,Hydro:Pumped,578.5,0.0,0.0,578.5
2045,Gas:CC,576.0,0.0,0.0,576.0
2050,Solar:PV,4329.24,4499.188183303355,9911.950474271343,18740.3786575747
2050,Wind,249.0,13352.07694197545,1280.0861273161322,14881.163069291582
2050,Gas:CT,726.2,13974.241110968367,0.0,14700.441110968368
2050,Storage:Battery,0.0,886.5625896697841,12918.507805721452,13805.070395391236
2050,Nuclear:SMR,0.0,0.0,1858.220253079577,1858.220253079577
2050,Hydro,638.2,0.0,0.0,638.2
2050,Hydro:Pumped,578.5,0.0,0.0,578.5
