year,carrier,component,gwh
2030,Wind,Generator,57407.43881797573
2030,Solar:PV,Generator,9086.132313186157
2030,Hydro,Generator,5774.363524897915
2030,Coal,Generator,5171.212260104927
2030,Gas:CC,Generator,6.363097852805646
2030,Gas:CT,Generator,0.0
2030,Gas:IC,Generator,0.0
2030,Gas:ST,Generator,0.0
2030,Geothermal,Generator,0.0
2030,Nuclear:SMR,Generator,0.0
2030,Solar+Storage,Generator,0.0
2030,import,Generator,-19742.282430562667
2030,Storage:Battery,StorageUnit,358.5416873823979
2030,Hydro:Pumped,StorageUnit,260.50104740823923
2030,Solar+Storage,StorageUnit,0.0
2035,Wind,Generator,58779.615564563836
2035,Solar:PV,Generator,8267.856186648813
2035,Hydro,Generator,5555.639417220031
2035,Gas:CC,Generator,43.50271214159168
2035,Gas:CT,Generator,20.200228478556333
2035,Gas:IC,Generator,0.9041453760431752
2035,Geothermal,Generator,0.0
2035,Nuclear:SMR,Generator,0.0
2035,Solar+Storage,Generator,0.0
2035,import,Generator,-15263.350150158522
2035,Storage:Battery,StorageUnit,666.8549902652829
2035,Hydro:Pumped,StorageUnit,316.2764536540326
2035,Solar+Storage,StorageUnit,0.0
2040,Wind,Generator,57270.754519913244
2040,Solar:PV,Generator,15463.130287448139
2040,Hydro,Generator,5404.309346871502
2040,Gas:CC,Generator,30.853856153989174
2040,Gas:CT,Generator,18.836084074244862
2040,Geothermal,Generator,0.0
2040,Nuclear:SMR,Generator,0.0
2040,Solar+Storage,Generator,0.0
2040,import,Generator,-20547.02671233454
2040,Storage:Battery,StorageUnit,832.5178941813639
2040,Hydro:Pumped,StorageUnit,376.72788964266425
2040,Solar+Storage,StorageUnit,0.0
2045,Wind,Generator,58282.417438896344
2045,Solar:PV,Generator,15826.126080695914
2045,Hydro,Generator,5405.847515832953
2045,Gas:CT,Generator,68.36553192663928
2045,Gas:CC,Generator,52.08660773958026
2045,Geothermal,Generator,0.0
2045,Nuclear:SMR,Generator,0.0
2045,Solar+Storage,Generator,0.0
2045,import,Generator,-19182.59474267222
2045,Storage:Battery,StorageUnit,1228.529712604427
2045,Hydro:Pumped,StorageUnit,399.667902258929
2045,Solar+Storage,StorageUnit,0.0
2050,Wind,Generator,62743.11602325663
2050,Solar:PV,Generator,32872.2270778949
2050,Nuclear:SMR,Generator,10659.426277974515
2050,Hydro,Generator,5303.73533795778
2050,Solar+Storage,Generator,9.430801477475839e-14
2050,Gas:CC,Generator,0.0
2050,Gas:CT,Generator,0.0
2050,Geothermal,Generator,0.0
2050,import,Generator,-48231.157798276996
2050,Storage:Battery,StorageUnit,9906.281025417415
2050,Hydro:Pumped,StorageUnit,372.0582880921147
2050,Solar+Storage,StorageUnit,3.680394604827719e-15
