year,market,gross_import_gwh,gross_export_gwh
2030,Market_Wyoming,2826.658450855841,10087.329551253759
2030,Market_Utah,1751.2232251723963,4711.522756724029
2030,Market_FourCorners,2495.4485168582164,6417.16720045978
2030,Market_NewMexico,578.3722915797049,1548.07050041686
2030,Market_Nebraska,1485.200512439225,5413.93920130416
2030,Market_EasternInterconnect,356.5607871336251,1057.7170044430873
2030,total,9493.463784039008,29235.746214601673
2035,Market_Wyoming,4997.780506585937,10892.494784360748
2035,Market_Utah,3077.163874046614,4821.740097614922
2035,Market_FourCorners,4295.484332250385,6755.735609215554
2035,Market_NewMexico,995.0275980072162,1693.874715424621
2035,Market_Nebraska,2157.1960192700735,5853.883439316038
2035,Market_EasternInterconnect,493.46612725197775,1261.7399616388436
2035,total,16016.118457412202,31279.46860757072
2040,Market_Wyoming,3816.9044680777497,11545.457348053618
2040,Market_Utah,2534.554574155042,5319.805632555049
2040,Market_FourCorners,3119.929429360345,7514.291680170812
2040,Market_NewMexico,825.258223628147,1735.3633268149506
2040,Market_Nebraska,1903.2487868806297,5834.607396136557
2040,Market_EasternInterconnect,431.15546207129734,1228.5522727767645
2040,total,12631.05094417321,33178.077656507754
2045,Market_Wyoming,2097.351936917004,8895.185131026914
2045,Market_Utah,1184.2436108503373,3676.537149038614
2045,Market_FourCorners,1578.4357815150736,5246.171421928624
2045,Market_NewMexico,372.1241255249488,1200.2643277808857
2045,Market_Nebraska,774.9955458155274,5282.881309656582
2045,Market_EasternInterconnect,176.26985150218556,1064.9762553656763
2045,total,6183.420852125077,25366.015594797296
2050,Market_Wyoming,0.0,17870.35831546949
2050,Market_Utah,0.0,8113.584742615483
2050,Market_FourCorners,0.0,10882.072036528732
2050,Market_NewMexico,0.0,2271.831378083505
2050,Market_Nebraska,0.0,7512.190171306613
2050,Market_EasternInterconnect,0.0,1581.1211542731705
2050,total,0.0,48231.157798276996
