year,interface,co_bus,far_bus,twh
2030,Link_West_FourCorners,West,FourCorners,3.9217186836015636
2030,Link_West_Utah,West,Utah,2.9602995315516325
2030,Link_East_Nebraska,East,Nebraska,3.9287386888649354
2030,Link_South_NewMexico,South,NewMexico,0.9696982088371554
2030,Link_Mountain_Wyoming,Mountain,Wyoming,0.8484066315357052
2030,Link_North_Wyoming,North,Wyoming,6.4122644688622135
2030,Link_East_EasternInterconnect,East,EasternInterconnect,0.7011562173094621
2030,total,,,19.742282430562668
2035,Link_West_FourCorners,West,FourCorners,2.460251276965168
2035,Link_West_Utah,West,Utah,1.7445762235683067
2035,Link_East_Nebraska,East,Nebraska,3.696687420045965
2035,Link_South_NewMexico,South,NewMexico,0.698847117417405
2035,Link_Mountain_Wyoming,Mountain,Wyoming,0.7414284466661921
2035,Link_North_Wyoming,North,Wyoming,5.153285831108619
2035,Link_East_EasternInterconnect,East,EasternInterconnect,0.7682738343868657
2035,total,,,15.263350150158523
2040,Link_West_FourCorners,West,FourCorners,4.394362250810467
2040,Link_West_Utah,West,Utah,2.785251058400008
2040,Link_East_Nebraska,East,Nebraska,3.9313586092559274
2040,Link_South_NewMexico,South,NewMexico,0.9101051031868035
2040,Link_Mountain_Wyoming,Mountain,Wyoming,1.1613070259568845
2040,Link_North_Wyoming,North,Wyoming,6.567245854018983
2040,Link_East_EasternInterconnect,East,EasternInterconnect,0.7973968107054671
2040,total,,,20.54702671233454
2045,Link_West_FourCorners,West,FourCorners,3.6677356404135506
2045,Link_West_Utah,West,Utah,2.4922935381882767
2045,Link_East_Nebraska,East,Nebraska,4.507885763841055
2045,Link_South_NewMexico,South,NewMexico,0.8281402022559368
2045,Link_Mountain_Wyoming,Mountain,Wyoming,1.0176718177178834
2045,Link_North_Wyoming,North,Wyoming,5.780161376392027
2045,Link_East_EasternInterconnect,East,EasternInterconnect,0.8887064038634908
2045,total,,,19.18259474267222
2050,Link_West_FourCorners,West,FourCorners,10.882072036528733
2050,Link_West_Utah,West,Utah,8.113584742615483
2050,Link_East_Nebraska,East,Nebraska,7.512190171306613
2050,Link_South_NewMexico,South,NewMexico,2.271831378083505
2050,Link_Mountain_Wyoming,Mountain,Wyoming,3.7649136014079683
2050,Link_North_Wyoming,North,Wyoming,14.105444714061518
2050,Link_East_EasternInterconnect,East,EasternInterconnect,1.5811211542731705
2050,total,,,48.23115779827699
