year,bus,mean_lmp
2030,Denver,27.300390734868675
2030,North,27.300390734868675
2030,South,27.300390734868675
2030,Mountain,32.486497825243525
2030,East,24.33712150227021
2030,West,32.486497825243525
2030,Wyoming,32.67357040000001
2030,Utah,32.67357040000001
2030,FourCorners,32.67357040000002
2030,NewMexico,32.67357040000002
2030,Nebraska,32.67357040000002
2030,EasternInterconnect,32.67357040000002
2035,Denver,30.525620442508597
2035,North,30.525620442508597
2035,South,30.525620442508597
2035,Mountain,37.15990738920737
2035,East,25.13214894344976
2035,West,37.14219828684633
2035,Wyoming,37.2122683
2035,Utah,37.2122683
2035,FourCorners,37.2122683
2035,NewMexico,37.2122683
2035,Nebraska,37.2122683
2035,EasternInterconnect,37.2122683
2040,Denver,31.217841235546828
2040,North,31.217841235546828
2040,South,31.198975799483293
2040,Mountain,37.696582704906
2040,East,27.556553124345985
2040,West,37.679025657164196
2040,Wyoming,38.281212999999994
2040,Utah,38.281212999999994
2040,FourCorners,38.281212999999994
2040,NewMexico,38.281212999999994
2040,Nebraska,38.281212999999994
2040,EasternInterconnect,38.281212999999994
2045,Denver,29.932263157080857
2045,North,29.7980717645037
2045,South,29.839244289197733
2045,Mountain,35.38153220597113
2045,East,24.252898560844056
2045,West,35.3010469865431
2045,Wyoming,36.55040284827719
2045,Utah,36.55136132582265
2045,FourCorners,36.55136132582265
2045,NewMexico,36.55136132582265
2045,Nebraska,36.53565271440922
2045,EasternInterconnect,36.53565271440922
2050,Denver,65.61106511732177
2050,North,65.07747575189211
2050,South,65.60986862720611
2050,Mountain,65.5226633645352
2050,East,38.153194823920366
2050,West,65.57185839436839
2050,Wyoming,67.7211269481194
2050,Utah,76.23112892904233
2050,FourCorners,76.23112892904233
2050,NewMexico,77.86785633922025
2050,Nebraska,50.57218038887465
2050,EasternInterconnect,50.57218038887465
