year,kind,name,accredited_mw,net_firm_in_mw,load_at_tstar_mw,slack_mw,dual,from,to,flow_mw,limit_mw,at_bound
2030,zone,Denver,2039.0347000651038,5661.337090983196,7700.3717910483,-9.094947017729282e-13,-0.0,,,,,
2030,zone,North,6648.78970551616,-4662.0,1296.3492131168398,690.4404923993204,-0.0,,,,,
2030,zone,South,2949.742300000001,-420.65353029890724,2529.0887697010935,0.0,-0.0,,,,,
2030,zone,Mountain,252.20474999999996,23.89155207634323,276.0963020763432,0.0,-0.0,,,,,
2030,zone,East,2174.4376777871084,-357.4,437.03835611656376,1379.9993216705445,-0.0,,,,,
2030,zone,West,1193.74542,-245.17511276063215,948.5703072393678,0.0,-0.0,,,,,
2030,pipe,RA_pipe_South_West,,,,,,South,West,63.5,63.5,True
2030,pipe,RA_pipe_East_South,,,,,,East,South,484.4,484.4,True
2030,pipe,RA_pipe_East_North,,,,,,East,North,-591.5,591.5,True
2030,pipe,RA_pipe_Denver_South,,,,,,Denver,South,-1053.2370909831961,1610.4,False
2030,pipe,RA_pipe_Mountain_South,,,,,,Mountain,South,211.68356068428892,683.8,False
2030,pipe,RA_pipe_Denver_East,,,,,,Denver,East,-464.5,464.5,True
2030,pipe,RA_pipe_Mountain_West,,,,,,Mountain,West,-308.67511276063215,961.1,False
2030,pipe,RA_pipe_Denver_Mountain,,,,,,Denver,Mountain,-73.1,73.1,True
2030,pipe,RA_pipe_Denver_North,,,,,,Denver,North,-4070.5,4070.5,True
2030,pipe,RA_pipe_Mountain_North,,,,,,Mountain,North,0.0,0.0,True
2030,pipe,RA_pipe_North_West,,,,,,North,West,0.0,0.0,True
2035,zone,Denver,4569.243418272373,4191.265732590863,8760.509150863236,0.0,-0.0,,,,,
2035,zone,North,4560.91959981118,-3204.9779884556947,1355.9416113554857,-4.547473508864641e-13,-0.0,,,,,
2035,zone,South,1389.2903070000002,1374.5122558648313,2763.8025628648315,0.0,-0.0,,,,,
2035,zone,Mountain,1078.343862798957,-775.3594008340195,302.9844619649374,0.0,-0.0,,,,,
2035,zone,East,4070.4590028211464,-1540.4,485.3005241839105,2044.7584786372358,-0.0,,,,,
