year,carrier,existing,vintage,new_build,total
2030,Wind,5307.0,0.0,3038.3145033789788,8345.314503378979
2030,Gas:CC,2799.2258064516127,0.0,2303.962808317153,5103.188614768766
2030,Solar:PV,4659.66,0.0,0.0,4659.66
2030,Gas:CT,3191.4,0.0,1127.5189092895466,4318.918909289547
2030,Storage:Battery,1202.3,0.0,0.0,1202.3
2030,Coal,750.0,0.0,0.0,750.0
2030,Hydro,687.6,0.0,0.0,687.6
2030,Gas:ST,602.0,0.0,0.0,602.0
2030,Hydro:Pumped,578.5,0.0,0.0,578.5
2030,Gas:IC,278.62,0.0,0.0,278.62
2035,Wind,5307.0,3038.3145033789788,637.2718021698194,8982.586305548799
2035,Gas:CT,1794.2,1127.5189092895466,4107.505529795839,7029.224439085386
2035,Gas:CC,764.0,2303.9628083171524,2079.186973967895,5147.149782285047
2035,Solar:PV,4659.66,0.0,0.0,4659.66
2035,Storage:Battery,1198.1,0.0,0.0,1198.1
2035,Hydro,687.6,0.0,0.0,687.6
2035,Hydro:Pumped,578.5,0.0,0.0,578.5
2035,Gas:IC,226.32,0.0,0.0,226.32
2040,Wind,5063.0,3675.586305548798,982.8240376510033,9721.410343199801
2040,Gas:CT,1116.2,5235.024439085385,1554.696374404265,7905.92081348965
2040,Gas:CC,764.0,4383.149782285048,625.1188816860969,5772.268663971145
2040,Solar:PV,4659.66,0.0,0.0,4659.66
2040,Storage:Battery,856.0,0.0,588.2108576234383,1444.2108576234382
2040,Hydro,667.7,0.0,0.0,667.7
2040,Hydro:Pumped,578.5,0.0,0.0,578.5
2045,Wind,3008.2000000000003,4658.410343199801,5354.326038644374,13020.936381844176
2045,Gas:CT,936.2,6789.72081348965,1042.9974585707557,8768.918272060406
2045,Solar:PV,4659.66,0.0,3695.2199575667446,8354.879957566744
2045,Gas:CC,576.0,5008.268663971145,0.0,5584.268663971145
2045,Storage:Battery,0.0,588.2108576234383,3340.082873208805,3928.293730832243
2045,Hydro,667.7,0.0,0.0,667.7
2045,Hydro:Pumped,578.5,0.0,0.0,578.5
2050,Solar:PV,4329.24,3695.2199575667446,14263.534957627984,22287.99491519473
2050,Storage:Battery,0.0,3928.293730832243,11808.495702585264,15736.789433417507
2050,Wind,249.0,10012.736381844175,589.785658273158,10851.522040117334
2050,Gas:CT,726.2,7832.718272060406,0.0,8558.918272060406
2050,Gas:CC,0.0,5008.268663971145,0.0,5008.268663971145
2050,Nuclear:SMR,0.0,0.0,1773.2858474167992,1773.2858474167992
2050,Hydro,638.2,0.0,0.0,638.2
2050,Hydro:Pumped,578.5,0.0,0.0,578.5
