year,carrier,component,gwh
2030,Wind,Generator,29577.58268353205
2030,Gas:CC,Generator,9597.314573788391
2030,Solar:PV,Generator,8943.262498584969
2030,Hydro,Generator,5663.209388743084
2030,Coal,Generator,4125.769821202473
2030,Gas:CT,Generator,34.8936426210343
2030,Gas:IC,Generator,5.918490749175604
2030,Gas:ST,Generator,0.0
2030,Geothermal,Generator,0.0
2030,Nuclear:SMR,Generator,0.0
2030,Solar+Storage,Generator,0.0
2030,Storage:Battery,StorageUnit,1349.285754483607
2030,Hydro:Pumped,StorageUnit,539.9297991000168
2030,Solar+Storage,StorageUnit,0.0
2035,Wind,Generator,30349.89192627898
2035,Gas:CC,Generator,13332.340588535926
2035,Solar:PV,Generator,8114.409137490336
2035,Hydro,Generator,5495.208144806144
2035,Gas:CT,Generator,292.26962464592157
2035,Gas:IC,Generator,30.340952307843523
2035,Geothermal,Generator,0.0
2035,Nuclear:SMR,Generator,0.0
2035,Solar+Storage,Generator,0.0
2035,Storage:Battery,StorageUnit,1385.7268116583339
2035,Hydro:Pumped,StorageUnit,649.0897021442735
2035,Solar+Storage,StorageUnit,0.0
2040,Wind,Generator,32148.866750747977
2040,Gas:CC,Generator,12149.813384466823
2040,Solar:PV,Generator,8001.56886364013
2040,Hydro,Generator,5273.298511431047
2040,Gas:CT,Generator,319.8865990210619
2040,Geothermal,Generator,0.0
2040,Nuclear:SMR,Generator,0.0
2040,Solar+Storage,Generator,0.0
2040,Storage:Battery,StorageUnit,1746.0917706852895
2040,Hydro:Pumped,StorageUnit,742.0717198141649
2040,Solar+Storage,StorageUnit,0.0
2045,Wind,Generator,37517.744531640026
2045,Solar:PV,Generator,12680.865101882053
2045,Gas:CC,Generator,6255.896141205114
2045,Hydro,Generator,4233.94558342983
2045,Gas:CT,Generator,53.10865731074183
2045,Geothermal,Generator,0.0
2045,Nuclear:SMR,Generator,0.0
2045,Solar+Storage,Generator,0.0
2045,Storage:Battery,StorageUnit,2892.565739246061
2045,Hydro:Pumped,StorageUnit,382.30056858845774
2045,Solar+Storage,StorageUnit,0.0
2050,Wind,Generator,31622.153921570956
2050,Solar:PV,Generator,26073.029346487594
2050,Hydro,Generator,3925.51368922493
2050,Nuclear:SMR,Generator,823.4074029191553
2050,Solar+Storage,Generator,1.3366878663158744e-13
2050,Gas:CC,Generator,0.0
2050,Gas:CT,Generator,0.0
2050,Geothermal,Generator,0.0
2050,Storage:Battery,StorageUnit,5237.700753455976
2050,Hydro:Pumped,StorageUnit,54.55648094223086
2050,Solar+Storage,StorageUnit,-2.012257027672604e-14
