year,bus,mean_lmp
2030,Denver,26.733179119930853
2030,North,26.733179119930853
2030,South,26.733179119930853
2030,Mountain,26.733179119930853
2030,East,24.464128393342936
2030,West,26.733179119930853
2035,Denver,29.737816114337647
2035,North,29.737816114337647
2035,South,29.737816114337644
2035,Mountain,29.737816114337644
2035,East,25.284655950419936
2035,West,29.737816114337644
2040,Denver,34.140232281801694
2040,North,34.140232281801694
2040,South,34.13357520799735
2040,Mountain,34.13357520799735
2040,East,29.333177754249597
2040,West,34.13357520799735
2045,Denver,47.93963451996062
2045,North,47.93963451996062
2045,South,47.44098751880198
2045,Mountain,47.4475692589428
2045,East,37.78484742789339
2045,West,47.4475692589428
2050,Denver,75.03893557883998
2050,North,75.03679243178117
2050,South,75.03893557883997
2050,Mountain,75.03822119648703
2050,East,51.749193411414595
2050,West,75.03822119648703
