year,kind,name,accredited_mw,net_firm_in_mw,load_at_tstar_mw,slack_mw,dual,from,to,flow_mw,limit_mw,at_bound
2030,zone,Denver,1729.946846,5970.4249450483,7700.3717910483,0.0,-1.608042872390089e-11,,,,,
2030,zone,North,4527.27415816514,-3230.9249450483003,1296.3492131168398,-2.2737367544323206e-13,-1.608042872390089e-11,,,,,
2030,zone,South,4728.536675914491,-1873.3,2529.0887697010935,326.14790621339716,-0.0,,,,,
2030,zone,Mountain,252.20474999999996,23.891552076343288,276.0963020763432,5.684341886080802e-14,-0.0,,,,,
2030,zone,East,2826.2467032887425,-1540.4,437.03835611656376,848.8083471721786,-0.0,,,,,
2030,zone,West,1193.74542,650.3084479236567,948.5703072393678,895.4835606842887,-0.0,,,,,
2030,pipe,RA_pipe_South_West,,,,,,South,West,63.5,63.5,True
2030,pipe,RA_pipe_East_South,,,,,,East,South,484.4,484.4,True
2030,pipe,RA_pipe_East_North,,,,,,East,North,591.5,591.5,True
2030,pipe,RA_pipe_Denver_South,,,,,,Denver,South,-1610.4,1610.4,True
2030,pipe,RA_pipe_Mountain_South,,,,,,Mountain,South,-683.8,683.8,True
2030,pipe,RA_pipe_Denver_East,,,,,,Denver,East,-464.5,464.5,True
2030,pipe,RA_pipe_Mountain_West,,,,,,Mountain,West,586.8084479236567,961.1,False
2030,pipe,RA_pipe_Denver_Mountain,,,,,,Denver,Mountain,-73.1,73.1,True
2030,pipe,RA_pipe_Denver_North,,,,,,Denver,North,-3822.4249450483003,4070.5,False
2030,pipe,RA_pipe_Mountain_North,,,,,,Mountain,North,0.0,0.0,True
2030,pipe,RA_pipe_North_West,,,,,,North,West,0.0,0.0,True
2035,zone,Denver,4503.89265323321,4256.616497630026,8760.509150863236,0.0,-0.0,,,,,
2035,zone,North,2873.0581089855123,-1517.1164976300265,1355.9416113554857,0.0,-0.0,,,,,
2035,zone,South,4514.304763256531,-770.2600004741978,2763.8025628648315,980.2421999175017,-0.0,,,,,
