year,carrier,existing,vintage,new_build,total
2030,Wind,5307.0,0.0,3038.3145033789788,8345.314503378979
2030,Gas:CC,2799.2258064516127,0.0,2303.962808317153,5103.188614768766
2030,Solar:PV,4659.66,0.0,0.0,4659.66
2030,Gas:CT,3191.4,0.0,1127.5189092895466,4318.918909289547
2030,Storage:Battery,1202.3,0.0,0.0,1202.3
2030,Coal,750.0,0.0,0.0,750.0
2030,Hydro,687.6,0.0,0.0,687.6
2030,Gas:ST,602.0,0.0,0.0,602.0
2030,Hydro:Pumped,578.5,0.0,0.0,578.5
2030,Gas:IC,278.62,0.0,0.0,278.62
2035,Wind,5307.0,3038.3145033789788,637.2718021698194,8982.586305548799
2035,Gas:CT,1794.2,1127.5189092895466,4107.505529795839,7029.224439085386
2035,Gas:CC,764.0,2303.9628083171524,2079.186973967895,5147.149782285047
2035,Solar:PV,4659.66,0.0,0.0,4659.66
2035,Storage:Battery,1198.1,0.0,0.0,1198.1
2035,Hydro,687.6,0.0,0.0,687.6
2035,Hydro:Pumped,578.5,0.0,0.0,578.5
2035,Gas:IC,226.32,0.0,0.0,226.32
2040,Wind,5063.0,3675.586305548798,447.2102629036965,9185.796568452493
2040,Gas:CT,1116.2,5235.024439085385,1931.1195392827105,8282.343978368095
2040,Gas:CC,764.0,4383.149782285048,708.1770086480475,5855.326790933095
2040,Solar:PV,4659.66,0.0,0.0,4659.66
2040,Storage:Battery,856.0,0.0,132.2303255771471,988.2303255771471
2040,Hydro,667.7,0.0,0.0,667.7
2040,Hydro:Pumped,578.5,0.0,0.0,578.5
2045,Wind,3008.2000000000003,4122.796568452494,3719.7205115503502,10850.717080002843
2045,Gas:CT,936.2,7166.143978368096,2314.641184710256,10416.985163078352
2045,Solar:PV,4659.66,0.0,1462.905758600526,6122.565758600525
2045,Gas:CC,576.0,5091.326790933095,168.20709504258252,5835.533885975678
2045,Storage:Battery,0.0,132.2303255771471,1865.404439033781,1997.6347646109282
2045,Hydro,667.7,0.0,0.0,667.7
2045,Hydro:Pumped,578.5,0.0,0.0,578.5
2050,Gas:CT,726.2,9480.785163078352,535.3588248893494,10742.343987967703
2050,Wind,249.0,7842.5170800028445,2513.3441975195606,10604.861277522405
2050,Solar:PV,4329.24,1462.905758600526,2687.8236208402113,8479.969379440736
2050,Gas:CC,0.0,5259.533885975678,1864.9964295969964,7124.530315572674
2050,Storage:Battery,0.0,1997.6347646109282,2781.993085211778,4779.627849822707
2050,Hydro,638.2,0.0,0.0,638.2
2050,Hydro:Pumped,578.5,0.0,0.0,578.5
