year,carrier,component,gwh
2030,Wind,Generator,29577.58268353205
2030,Gas:CC,Generator,9597.314573788391
2030,Solar:PV,Generator,8943.262498584969
2030,Hydro,Generator,5663.209388743084
2030,Coal,Generator,4125.769821202473
2030,Gas:CT,Generator,34.8936426210343
2030,Gas:IC,Generator,5.918490749175604
2030,Gas:ST,Generator,0.0
2030,Geothermal,Generator,0.0
2030,Nuclear:SMR,Generator,0.0
2030,Solar+Storage,Generator,0.0
2030,Storage:Battery,StorageUnit,1349.285754483607
2030,Hydro:Pumped,StorageUnit,539.9297991000168
2030,Solar+Storage,StorageUnit,0.0
2035,Wind,Generator,30349.89192627898
2035,Gas:CC,Generator,13332.340588535926
2035,Solar:PV,Generator,8114.409137490336
2035,Hydro,Generator,5495.208144806144
2035,Gas:CT,Generator,292.26962464592157
2035,Gas:IC,Generator,30.340952307843523
2035,Geothermal,Generator,0.0
2035,Nuclear:SMR,Generator,0.0
2035,Solar+Storage,Generator,0.0
2035,Storage:Battery,StorageUnit,1385.7268116583339
2035,Hydro:Pumped,StorageUnit,649.0897021442735
2035,Solar+Storage,StorageUnit,0.0
2040,Wind,Generator,30495.10327985423
2040,Gas:CC,Generator,13527.715982319634
2040,Solar:PV,Generator,8035.792630752037
2040,Hydro,Generator,5345.072542508872
2040,Gas:CT,Generator,397.9543495265907
2040,Geothermal,Generator,0.0
2040,Nuclear:SMR,Generator,0.0
2040,Solar+Storage,Generator,0.0
2040,Storage:Battery,StorageUnit,1203.441870562319
2040,Hydro:Pumped,StorageUnit,757.9319664811301
2040,Solar+Storage,StorageUnit,0.0
2045,Wind,Generator,34909.28455671679
2045,Gas:CC,Generator,10751.153736364386
2045,Solar:PV,Generator,9961.333887469405
2045,Hydro,Generator,4802.422029585805
2045,Gas:CT,Generator,220.06249737844385
2045,Geothermal,Generator,0.0
2045,Nuclear:SMR,Generator,0.0
2045,Solar+Storage,Generator,0.0
2045,Storage:Battery,StorageUnit,1962.766201787472
2045,Hydro:Pumped,StorageUnit,649.4164220415947
2045,Solar+Storage,StorageUnit,0.0
2050,Wind,Generator,38966.70757845227
2050,Solar:PV,Generator,12472.946288699672
2050,Gas:CC,Generator,6171.616139815675
2050,Hydro,Generator,4482.719310422663
2050,Gas:CT,Generator,112.76045655747504
2050,Geothermal,Generator,0.0
2050,Nuclear:SMR,Generator,0.0
2050,Solar+Storage,Generator,0.0
2050,Storage:Battery,StorageUnit,3424.4030704553447
2050,Hydro:Pumped,StorageUnit,385.11297098195246
2050,Solar+Storage,StorageUnit,-1.261923898709938e-14
