year,bus,mean_lmp
2030,Denver,26.733179119930853
2030,North,26.733179119930853
2030,South,26.733179119930853
2030,Mountain,26.733179119930853
2030,East,24.464128393342936
2030,West,26.733179119930853
2035,Denver,29.737816114337647
2035,North,29.737816114337647
2035,South,29.737816114337644
2035,Mountain,29.737816114337644
2035,East,25.284655950419936
2035,West,29.737816114337644
2040,Denver,31.509977370143773
2040,North,31.509977370143773
2040,South,31.508211577356377
2040,Mountain,31.508211577356377
2040,East,26.944667128617574
2040,West,31.508211577356377
2045,Denver,36.55055563827816
2045,North,36.55055563827817
2045,South,36.50930522211836
2045,Mountain,36.50930522211836
2045,East,30.666045521755077
2045,West,36.50930522211836
2050,Denver,42.21829846021961
2050,North,42.21829846021961
2050,South,41.73611517545402
2050,Mountain,41.73611517545402
2050,East,36.08248788286692
2050,West,41.73611517545402
