year,carrier,component,gwh
2030,Wind,Generator,29524.562412543055
2030,Gas:CC,Generator,9597.31457378839
2030,Solar:PV,Generator,9056.753948378955
2030,Hydro,Generator,5602.595681693854
2030,Coal,Generator,4125.7698212024725
2030,Gas:CT,Generator,34.89364262103429
2030,Gas:IC,Generator,5.9184907491756045
2030,Gas:ST,Generator,0.0
2030,Geothermal,Generator,0.0
2030,Nuclear:SMR,Generator,0.0
2030,Solar+Storage,Generator,0.0
2030,Storage:Battery,StorageUnit,1348.4782290204917
2030,Hydro:Pumped,StorageUnit,539.9297991000169
2030,Solar+Storage,StorageUnit,0.0
2035,Wind,Generator,30397.35896274645
2035,Gas:CC,Generator,13329.328171791292
2035,Solar:PV,Generator,8126.134938303668
2035,Hydro,Generator,5439.201744953432
2035,Gas:CT,Generator,297.70415895655515
2035,Gas:IC,Generator,24.78784573701384
2035,Geothermal,Generator,0.0
2035,Nuclear:SMR,Generator,0.0
2035,Solar+Storage,Generator,0.0
2035,Storage:Battery,StorageUnit,1385.8816012747725
2035,Hydro:Pumped,StorageUnit,649.2022143681141
2035,Solar+Storage,StorageUnit,0.0
2040,Wind,Generator,30556.26454422485
2040,Gas:CC,Generator,13505.882529482487
2040,Solar:PV,Generator,8020.231969430259
2040,Hydro,Generator,5301.493352900363
2040,Gas:CT,Generator,418.84147933713024
2040,Geothermal,Generator,0.0
2040,Nuclear:SMR,Generator,0.0
2040,Solar+Storage,Generator,0.0
2040,Storage:Battery,StorageUnit,1197.3839302850467
2040,Hydro:Pumped,StorageUnit,766.50858458202
2040,Solar+Storage,StorageUnit,0.0
2045,Wind,Generator,31071.24283645283
2045,Gas:CC,Generator,15950.95701205604
2045,Solar:PV,Generator,7837.129776084408
2045,Hydro,Generator,5210.566064689839
2045,Gas:CT,Generator,401.80567799102096
2045,Geothermal,Generator,0.0
2045,Nuclear:SMR,Generator,0.0
2045,Solar+Storage,Generator,0.0
2045,Storage:Battery,StorageUnit,790.004986229169
2045,Hydro:Pumped,StorageUnit,787.0265073552771
2045,Solar+Storage,StorageUnit,0.0
2050,Wind,Generator,35828.21078697139
2050,Gas:CC,Generator,13234.156679927202
2050,Solar:PV,Generator,7333.15444025213
2050,Hydro,Generator,4974.741680703375
2050,Gas:CT,Generator,573.6754680419509
2050,Geothermal,Generator,0.0
2050,Nuclear:SMR,Generator,0.0
2050,Solar+Storage,Generator,0.0
2050,Storage:Battery,StorageUnit,1300.0652250699998
2050,Hydro:Pumped,StorageUnit,833.4026955177258
2050,Solar+Storage,StorageUnit,0.0
