year,kind,name,accredited_mw,net_firm_in_mw,load_at_tstar_mw,slack_mw,dual,from,to,flow_mw,limit_mw,at_bound
2030,zone,Denver,1729.946846,5970.4249450483,7700.3717910483,0.0,-0.0,,,,,
2030,zone,North,4527.27415816514,-3230.9249450483003,1296.3492131168398,-2.2737367544323206e-13,-0.0,,,,,
2030,zone,South,5540.164609794237,-940.6360260232789,2529.0887697010935,2070.4398140698645,-0.0,,,,,
2030,zone,Mountain,252.20474999999996,23.89155207634323,276.0963020763432,0.0,-0.0,,,,,
2030,zone,East,1809.9011584551452,-1372.8628023385813,437.03835611656376,5.684341886080802e-14,-0.0,,,,,
2030,zone,West,1398.4630309538509,-449.89272371448305,948.5703072393678,0.0,-0.0,,,,,
2030,pipe,RA_pipe_South_West,,,,,,South,West,63.5,63.5,True
2030,pipe,RA_pipe_East_South,,,,,,East,South,316.86280233858133,484.4,False
2030,pipe,RA_pipe_East_North,,,,,,East,North,591.5,591.5,True
2030,pipe,RA_pipe_Denver_South,,,,,,Denver,South,-1610.4,1610.4,True
2030,pipe,RA_pipe_Mountain_South,,,,,,Mountain,South,416.40117163813983,683.8,False
2030,pipe,RA_pipe_Denver_East,,,,,,Denver,East,-464.5,464.5,True
2030,pipe,RA_pipe_Mountain_West,,,,,,Mountain,West,-513.392723714483,961.1,False
2030,pipe,RA_pipe_Denver_Mountain,,,,,,Denver,Mountain,-73.1,73.1,True
2030,pipe,RA_pipe_Denver_North,,,,,,Denver,North,-3822.4249450483003,4070.5,False
2030,pipe,RA_pipe_Mountain_North,,,,,,Mountain,North,0.0,0.0,True
2030,pipe,RA_pipe_North_West,,,,,,North,West,0.0,0.0,True
2035,zone,Denver,5135.156182334308,3625.3529685289277,8760.509150863236,0.0,-0.0,,,,,
2035,zone,North,2241.7945798844135,-885.8529685289279,1355.9416113554857,-2.2737367544323206e-13,-0.0,,,,,
2035,zone,South,5766.675317789504,-1007.0064518451061,2763.8025628648315,1995.8663030795665,-0.0,,,,,
2035,zone,Mountain,245.3198,57.66466196493741,302.9844619649374,0.0,-0.0,,,,,
2035,zone,East,2074.5926997415786,-1540.4,485.3005241839105,48.892175557668,-0.0,,,,,
2035,zone,West,1291.712550953851,-249.75821011983135,1041.9543408340196,0.0,-0.0,,,,,
2035,pipe,RA_pipe_South_West,,,,,,South,West,63.5,63.5,True
2035,pipe,RA_pipe_East_South,,,,,,East,South,484.4,484.4,True
2035,pipe,RA_pipe_East_North,,,,,,East,North,591.5,591.5,True
2035,pipe,RA_pipe_Denver_South,,,,,,Denver,South,-1610.4,1610.4,True
2035,pipe,RA_pipe_Mountain_South,,,,,,Mountain,South,182.49354815489394,683.8,False
2035,pipe,RA_pipe_Denver_East,,,,,,Denver,East,-464.5,464.5,True
2035,pipe,RA_pipe_Mountain_West,,,,,,Mountain,West,-313.25821011983135,961.1,False
2035,pipe,RA_pipe_Denver_Mountain,,,,,,Denver,Mountain,-73.1,73.1,True
2035,pipe,RA_pipe_Denver_North,,,,,,Denver,North,-1477.352968528928,4070.5,False
2035,pipe,RA_pipe_Mountain_North,,,,,,Mountain,North,0.0,0.0,True
2035,pipe,RA_pipe_North_West,,,,,,North,West,0.0,0.0,True
