year,carrier,existing,vintage,new_build,total
2030,Wind,5307.0,0.0,2895.0144725207065,8202.014472520706
2030,Gas:CC,2799.2258064516127,0.0,2274.525355959304,5073.751162410917
2030,Solar:PV,4659.66,0.0,0.0,4659.66
2030,Gas:CT,3191.4,0.0,1196.2658704206476,4387.6658704206475
2030,Storage:Battery,1202.3,0.0,0.0,1202.3
2030,Coal,750.0,0.0,0.0,750.0
2030,Hydro,687.6,0.0,0.0,687.6
2030,Gas:ST,602.0,0.0,0.0,602.0
2030,Hydro:Pumped,578.5,0.0,0.0,578.5
2030,Gas:IC,278.62,0.0,0.0,278.62
2035,Wind,5307.0,2895.0144725207065,624.8567033075045,8826.871175828212
2035,Gas:CT,1794.2,1196.2658704206476,4093.2582376918353,7083.724108112483
2035,Gas:CC,764.0,2274.525355959304,2097.0163908526447,5135.5417468119485
2035,Solar:PV,4659.66,0.0,0.0,4659.66
2035,Storage:Battery,1198.1,0.0,0.0,1198.1
2035,Hydro,687.6,0.0,0.0,687.6
2035,Hydro:Pumped,578.5,0.0,0.0,578.5
2035,Gas:IC,226.32,0.0,0.0,226.32
2040,Wind,5063.0,3519.871175828211,997.7884411830731,9580.659617011284
2040,Gas:CT,1116.2,5289.524108112483,1988.6066818782037,8394.330789990687
2040,Gas:CC,764.0,4371.5417468119485,585.4503108369148,5720.992057648863
2040,Solar:PV,4659.66,0.0,0.0,4659.66
2040,Storage:Battery,856.0,0.0,8.597958623376137,864.5979586233761
2040,Hydro,667.7,0.0,0.0,667.7
2040,Hydro:Pumped,578.5,0.0,0.0,578.5
2045,Wind,3008.2000000000003,4517.659617011284,5645.834164473155,13171.69378148444
2045,Gas:CT,936.2,7278.130789990687,1171.7417754687085,9386.072565459395
2045,Solar:PV,4659.66,0.0,2714.5028833589977,7374.1628833589975
2045,Gas:CC,576.0,4956.992057648863,0.0,5532.992057648863
2045,Storage:Battery,0.0,8.597958623376137,2993.043224151041,3001.6411827744173
2045,Hydro,667.7,0.0,0.0,667.7
2045,Hydro:Pumped,578.5,0.0,0.0,578.5
2050,Solar:PV,4329.24,2714.5028833589977,13093.038530087413,20136.78141344641
2050,Wind,249.0,10163.49378148444,7630.7655782281445,18043.259359712585
2050,Storage:Battery,0.0,3001.6411827744173,7395.514047008374,10397.155229782791
2050,Gas:CT,726.2,8449.872565459395,0.0,9176.072565459395
2050,Gas:CC,0.0,4956.992057648863,0.0,4956.992057648863
2050,Hydro,638.2,0.0,0.0,638.2
2050,Hydro:Pumped,578.5,0.0,0.0,578.5
