year,carrier,component,gwh
2030,Wind,Generator,30004.182348926064
2030,Gas:CC,Generator,9531.194358242668
2030,Solar:PV,Generator,8804.223600926758
2030,Hydro,Generator,5521.459494602164
2030,Coal,Generator,4047.1226792077114
2030,Gas:CT,Generator,47.07596798258097
2030,Gas:IC,Generator,6.841744354501094
2030,Gas:ST,Generator,0.0
2030,Geothermal,Generator,0.0
2030,Nuclear:SMR,Generator,0.0
2030,Solar+Storage,Generator,0.0
2030,Storage:Battery,StorageUnit,1362.5542141305825
2030,Hydro:Pumped,StorageUnit,587.1586466743411
2030,Solar+Storage,StorageUnit,0.0
2035,Wind,Generator,31644.054592076263
2035,Gas:CC,Generator,12679.817759360805
2035,Solar:PV,Generator,7922.927953756442
2035,Hydro,Generator,5141.286112403856
2035,Gas:CT,Generator,251.8388507185817
2035,Gas:IC,Generator,14.84849850436244
2035,Geothermal,Generator,0.0
2035,Nuclear:SMR,Generator,0.0
2035,Solar+Storage,Generator,0.0
2035,Storage:Battery,StorageUnit,1432.9257036572426
2035,Hydro:Pumped,StorageUnit,777.0208554136834
2035,Solar+Storage,StorageUnit,0.0
2040,Wind,Generator,32466.96511707981
2040,Gas:CC,Generator,12167.012792256755
2040,Solar:PV,Generator,7895.145544900053
2040,Hydro,Generator,4975.354997569652
2040,Gas:CT,Generator,309.46848731899394
2040,Geothermal,Generator,0.0
2040,Nuclear:SMR,Generator,0.0
2040,Solar+Storage,Generator,0.0
2040,Storage:Battery,StorageUnit,1103.1826292285014
2040,Hydro:Pumped,StorageUnit,877.926910829486
2040,Solar+Storage,StorageUnit,0.0
2045,Wind,Generator,39386.8314251297
2045,Solar:PV,Generator,10984.614774322055
2045,Gas:CC,Generator,6250.258899055687
2045,Hydro,Generator,3977.523927369532
2045,Gas:CT,Generator,58.79648924260808
2045,Solar+Storage,Generator,1.3207561184642054e-12
2045,Geothermal,Generator,0.0
2045,Nuclear:SMR,Generator,0.0
2045,Storage:Battery,StorageUnit,2329.4663634485855
2045,Hydro:Pumped,StorageUnit,445.64447952334035
2045,Solar+Storage,StorageUnit,-6.093874621570138e-14
2050,Wind,Generator,35424.97860371861
2050,Solar:PV,Generator,23239.839670748617
2050,Hydro,Generator,3318.4803044199825
2050,Solar+Storage,Generator,4.6422847538645516e-15
2050,Gas:CC,Generator,0.0
2050,Gas:CT,Generator,0.0
2050,Geothermal,Generator,0.0
2050,Nuclear:SMR,Generator,0.0
2050,Storage:Battery,StorageUnit,2633.8403950864567
2050,Hydro:Pumped,StorageUnit,49.352432176678796
2050,Solar+Storage,StorageUnit,6.821210263296963e-15
