year,bus,mean_lmp
2030,Denver,25.3910826109185
2030,North,25.3910826109185
2030,South,25.3910826109185
2030,Mountain,25.3910826109185
2030,East,25.3910826109185
2030,West,25.3910826109185
2035,Denver,26.79373766527924
2035,North,26.79373766527924
2035,South,26.79373766527924
2035,Mountain,26.79373766527924
2035,East,26.79373766527924
2035,West,26.79373766527924
2040,Denver,32.05996483110934
2040,North,32.05996483110934
2040,South,32.05996483110934
2040,Mountain,32.05996483110934
2040,East,32.05996483110934
2040,West,32.05996483110934
2045,Denver,39.115229113618135
2045,North,39.115229113618135
2045,South,39.115229113618135
2045,Mountain,39.115229113618135
2045,East,39.115229113618135
2045,West,39.115229113618135
2050,Denver,67.3907276336549
2050,North,67.3907276336549
2050,South,67.3907276336549
2050,Mountain,67.3907276336549
2050,East,67.3907276336549
2050,West,67.3907276336549
