year,carrier,existing,vintage,new_build,total
2030,Wind,5307.0,0.0,9797.851237986226,15104.851237986226
2030,Gas:CT,3191.4,0.0,1780.006234176835,4971.406234176835
2030,Solar:PV,4659.66,0.0,0.0,4659.66
2030,Gas:CC,2799.2258064516127,0.0,0.0,2799.2258064516127
2030,Storage:Battery,1202.3,0.0,0.0,1202.3
2030,Coal,750.0,0.0,0.0,750.0
2030,Hydro,687.6,0.0,0.0,687.6
2030,Gas:ST,602.0,0.0,0.0,602.0
2030,Hydro:Pumped,578.5,0.0,0.0,578.5
2030,Gas:IC,278.62,0.0,0.0,278.62
2035,Wind,5307.0,9797.851237986228,1361.8322095142944,16466.683447500523
2035,Gas:CT,1794.2,1780.006234176835,5897.498355849068,9471.704590025904
2035,Solar:PV,4659.66,0.0,0.0,4659.66
2035,Storage:Battery,1198.1,0.0,218.40849806129688,1416.508498061297
2035,Gas:CC,764.0,0.0,0.0,764.0
2035,Hydro,687.6,0.0,0.0,687.6
2035,Hydro:Pumped,578.5,0.0,0.0,578.5
2035,Gas:IC,226.32,0.0,0.0,226.32
2040,Wind,5063.0,11159.683447500522,473.67512536047263,16696.358572860994
2040,Gas:CT,1116.2,7677.504590025903,2238.008583683302,11031.713173709206
2040,Solar:PV,4659.66,0.0,3657.3491312100978,8317.009131210098
2040,Storage:Battery,856.0,218.40849806129688,588.7391307055229,1663.14762876682
2040,Gas:CC,764.0,0.0,0.0,764.0
2040,Hydro,667.7,0.0,0.0,667.7
2040,Hydro:Pumped,578.5,0.0,0.0,578.5
2045,Wind,3008.2000000000003,11633.358572860994,1634.5992194891892,16276.157792350185
2045,Gas:CT,936.2,9915.513173709205,4233.137631177075,15084.85080488628
2045,Solar:PV,4659.66,3657.3491312100978,612.4593443660838,8929.468475576181
2045,Storage:Battery,0.0,807.1476287668198,69.32692512943498,876.4745538962547
2045,Hydro,667.7,0.0,0.0,667.7
2045,Hydro:Pumped,578.5,0.0,0.0,578.5
2045,Gas:CC,576.0,0.0,0.0,576.0
2050,Gas:CT,726.2,14148.650804886278,3367.699342722988,18242.55014760927
2050,Wind,249.0,13267.957792350184,2087.785003706512,15604.742796056697
2050,Solar:PV,4329.24,4269.808475576181,1294.0092340553033,9893.057709631485
2050,Storage:Battery,0.0,658.066055834958,1801.710006624692,2459.77606245965
2050,Hydro,638.2,0.0,0.0,638.2
2050,Hydro:Pumped,578.5,0.0,0.0,578.5
