year,carrier,component,gwh
2030,Wind,Generator,57339.03019082643
2030,Solar:PV,Generator,9145.225164713778
2030,Hydro,Generator,5783.679300519594
2030,Coal,Generator,5171.212260104927
2030,Gas:CC,Generator,6.363097852805645
2030,Gas:CT,Generator,0.0
2030,Gas:IC,Generator,0.0
2030,Gas:ST,Generator,0.0
2030,Geothermal,Generator,0.0
2030,Nuclear:SMR,Generator,0.0
2030,Solar+Storage,Generator,0.0
2030,import,Generator,-19742.282430562667
2030,Storage:Battery,StorageUnit,358.5416873823979
2030,Hydro:Pumped,StorageUnit,260.5010474082392
2030,Solar+Storage,StorageUnit,0.0
2035,Wind,Generator,58740.463236311545
2035,Solar:PV,Generator,8326.752030023154
2035,Hydro,Generator,5538.726667344716
2035,Gas:CC,Generator,43.471662955683776
2035,Gas:CT,Generator,17.10222053159282
2035,Gas:IC,Generator,3.991438972317793
2035,Geothermal,Generator,0.0
2035,Nuclear:SMR,Generator,0.0
2035,Solar+Storage,Generator,0.0
2035,import,Generator,-15266.132361663958
2035,Storage:Battery,StorageUnit,666.8789438022809
2035,Hydro:Pumped,StorageUnit,316.2867170869162
2035,Solar+Storage,StorageUnit,0.0
2040,Wind,Generator,58369.041281587095
2040,Solar:PV,Generator,14795.846832991005
2040,Hydro,Generator,5428.239777741802
2040,Gas:CC,Generator,36.33004028713332
2040,Gas:CT,Generator,17.137472611049393
2040,Geothermal,Generator,0.0
2040,Nuclear:SMR,Generator,0.0
2040,Solar+Storage,Generator,0.0
2040,import,Generator,-20947.345655706067
2040,Storage:Battery,StorageUnit,1162.2424965387613
2040,Hydro:Pumped,StorageUnit,377.5529187580706
2040,Solar+Storage,StorageUnit,0.0
2045,Wind,Generator,57965.49835699625
2045,Solar:PV,Generator,15420.974603833381
2045,Hydro,Generator,5388.825904539779
2045,Gas:CT,Generator,83.06937610174505
2045,Gas:CC,Generator,55.79865653102448
2045,Geothermal,Generator,0.0
2045,Nuclear:SMR,Generator,0.0
2045,Solar+Storage,Generator,0.0
2045,import,Generator,-18501.736412208495
2045,Storage:Battery,StorageUnit,985.4663795562432
2045,Hydro:Pumped,StorageUnit,411.9702332025929
2045,Solar+Storage,StorageUnit,0.0
2050,Wind,Generator,65061.06379681993
2050,Solar:PV,Generator,17297.018495272536
2050,Hydro,Generator,5138.090228055282
2050,Gas:CT,Generator,350.8747602015165
2050,Gas:CC,Generator,0.0
2050,Geothermal,Generator,0.0
2050,Nuclear:SMR,Generator,0.0
2050,Solar+Storage,Generator,0.0
2050,import,Generator,-25767.08246050421
2050,Storage:Battery,StorageUnit,2643.0227603287854
2050,Hydro:Pumped,StorageUnit,429.5357264252191
2050,Solar+Storage,StorageUnit,0.0
