year,market,gross_import_gwh,gross_export_gwh
2030,Market_Wyoming,5167.305517037859,11608.171828762032
2030,Market_Utah,1296.0031295445303,7345.651532170572
2030,Market_FourCorners,4534.491626763811,6328.829758049294
2030,Market_NewMexico,957.165455968745,1844.123267536626
2030,Market_Nebraska,2471.1695074939607,6006.080054954225
2030,Market_EasternInterconnect,391.72919321646077,1427.2904191152877
2030,total,14817.864430025367,34560.146860588036
2035,Market_Wyoming,5655.164999650255,10426.526473139715
2035,Market_Utah,1651.7806145651766,6590.222380870841
2035,Market_FourCorners,5087.455963846312,5182.5821347617975
2035,Market_NewMexico,1003.9454603934514,1692.442436893642
2035,Market_Nebraska,2210.136754557536,5924.525974738369
2035,Market_EasternInterconnect,346.54147193581406,1404.8582262081393
2035,total,15955.025264948546,31221.1576266125
2040,Market_Wyoming,5054.462965594866,11315.254920600559
2040,Market_Utah,1116.582855760098,7350.428432438515
2040,Market_FourCorners,4149.795513977567,6285.302249897268
2040,Market_NewMexico,923.9358351103571,1781.8108242464014
2040,Market_Nebraska,1942.4551180499202,6266.755496120941
2040,Market_EasternInterconnect,309.28108375679153,1444.30710465198
2040,total,13496.5133722496,34443.85902795567
2045,Market_Wyoming,5163.462391565159,11205.998820868303
2045,Market_Utah,1398.1387279694932,7051.261748926183
2045,Market_FourCorners,4673.896750531059,5616.944648744991
2045,Market_NewMexico,910.2814789588223,1777.8802844075306
2045,Market_Nebraska,2155.16107756338,6090.242937976271
2045,Market_EasternInterconnect,341.9784949446131,1402.326892817745
2045,total,14642.918921532528,33144.65533374102
2050,Market_Wyoming,3847.21055342828,13038.378728595155
2050,Market_Utah,1144.9656564208146,7450.263201782171
2050,Market_FourCorners,3862.624815191651,6640.546354650868
2050,Market_NewMexico,799.7074643425287,1909.4606124784298
2050,Market_Nebraska,1616.8428576633507,6781.434552067684
2050,Market_EasternInterconnect,272.7507927529132,1491.10115072944
2050,total,11544.10213979954,37311.18460030375
