year,interface,co_bus,far_bus,twh
2030,Link_West_FourCorners,West,FourCorners,1.794338131285482
2030,Link_West_Utah,West,Utah,6.049648402626041
2030,Link_East_Nebraska,East,Nebraska,3.534910547460264
2030,Link_South_NewMexico,South,NewMexico,0.8869578115678808
2030,Link_Mountain_Wyoming,Mountain,Wyoming,0.5884445493316015
2030,Link_North_Wyoming,North,Wyoming,5.85242176239257
2030,Link_East_EasternInterconnect,East,EasternInterconnect,1.035561225898827
2030,total,,,19.742282430562664
2035,Link_West_FourCorners,West,FourCorners,0.09512617091548571
2035,Link_West_Utah,West,Utah,4.938441766305664
2035,Link_East_Nebraska,East,Nebraska,3.714389220180833
2035,Link_South_NewMexico,South,NewMexico,0.6884969765001906
2035,Link_Mountain_Wyoming,Mountain,Wyoming,0.61660338498843
2035,Link_North_Wyoming,North,Wyoming,4.15475808850103
2035,Link_East_EasternInterconnect,East,EasternInterconnect,1.0583167542723249
2035,total,,,15.266132361663956
2040,Link_West_FourCorners,West,FourCorners,2.135506735919701
2040,Link_West_Utah,West,Utah,6.2338455766784175
2040,Link_East_Nebraska,East,Nebraska,4.324300378071022
2040,Link_South_NewMexico,South,NewMexico,0.8578749891360444
2040,Link_Mountain_Wyoming,Mountain,Wyoming,0.8625643039779335
2040,Link_North_Wyoming,North,Wyoming,5.398227651027762
2040,Link_East_EasternInterconnect,East,EasternInterconnect,1.1350260208951888
2040,total,,,20.94734565570607
2045,Link_West_FourCorners,West,FourCorners,0.9430478982139319
2045,Link_West_Utah,West,Utah,5.65312302095669
2045,Link_East_Nebraska,East,Nebraska,3.935081860412891
2045,Link_South_NewMexico,South,NewMexico,0.867598805448708
2045,Link_Mountain_Wyoming,Mountain,Wyoming,0.8121888810946033
2045,Link_North_Wyoming,North,Wyoming,5.230347548208538
2045,Link_East_EasternInterconnect,East,EasternInterconnect,1.060348397873132
2045,total,,,18.50173641220849
2050,Link_West_FourCorners,West,FourCorners,2.7779215394592174
2050,Link_West_Utah,West,Utah,6.305297545361356
2050,Link_East_Nebraska,East,Nebraska,5.164591694404334
2050,Link_South_NewMexico,South,NewMexico,1.1097531481359006
2050,Link_Mountain_Wyoming,Mountain,Wyoming,1.1237169023537985
2050,Link_North_Wyoming,North,Wyoming,8.067451272813077
2050,Link_East_EasternInterconnect,East,EasternInterconnect,1.2183503579765265
2050,total,,,25.76708246050421
