year,bus,mean_lmp
2030,Denver,27.300390734868667
2030,North,27.300390734868667
2030,South,27.300390734868667
2030,Mountain,32.486497825243525
2030,East,24.33712150227025
2030,West,32.486497825243525
2030,Wyoming,32.67357040000002
2030,Utah,32.67357040000002
2030,FourCorners,32.67357040000002
2030,NewMexico,32.67357040000002
2030,Nebraska,32.67357040000002
2030,EasternInterconnect,32.67357040000002
2035,Denver,30.549418446744287
2035,North,30.549418446744287
2035,South,30.549418446744287
2035,Mountain,37.15990738920737
2035,East,25.144857887862806
2035,West,37.14219828684633
2035,Wyoming,37.2122683
2035,Utah,37.2122683
2035,FourCorners,37.2122683
2035,NewMexico,37.2122683
2035,Nebraska,37.2122683
2035,EasternInterconnect,37.2122683
2040,Denver,31.065047318509595
2040,North,31.065047318509595
2040,South,31.031889474587924
2040,Mountain,37.66736517583859
2040,East,26.002223743163448
2040,West,37.64511526389268
2040,Wyoming,38.281212999999994
2040,Utah,38.281212999999994
2040,FourCorners,38.281212999999994
2040,NewMexico,38.281212999999994
2040,Nebraska,38.281212999999994
2040,EasternInterconnect,38.281212999999994
2045,Denver,30.12939265927401
2045,North,29.971174736304075
2045,South,30.01219615655105
2045,Mountain,35.327628928745675
2045,East,24.335080679848605
2045,West,35.23843291832233
2045,Wyoming,36.50669299999999
2045,Utah,36.50669299999999
2045,FourCorners,36.50669299999999
2045,NewMexico,36.50669299999999
2045,Nebraska,36.50669299999999
2045,EasternInterconnect,36.50669299999999
2050,Denver,29.10689888266236
2050,North,27.732536600091873
2050,South,28.76052310517237
2050,Mountain,33.916892909041565
2050,East,23.41929046687636
2050,West,33.8589872402226
2050,Wyoming,35.4415442
2050,Utah,35.4415442
2050,FourCorners,35.4415442
2050,NewMexico,35.4415442
2050,Nebraska,35.4415442
2050,EasternInterconnect,35.4415442
