year,kind,name,accredited_mw,net_firm_in_mw,load_at_tstar_mw,slack_mw,dual,from,to,flow_mw,limit_mw,at_bound
2030,zone,Denver,1729.946846,5970.4249450483,7700.3717910483,0.0,-0.0,,,,,
2030,zone,North,5353.379940094265,-3377.1249450483,1296.3492131168398,679.9057819291254,-0.0,,,,,
2030,zone,South,2949.742300000001,-420.6535302989075,2529.0887697010935,-4.547473508864641e-13,-0.0,,,,,
2030,zone,Mountain,252.20474999999996,23.89155207634323,276.0963020763432,0.0,-0.0,,,,,
2030,zone,East,2174.4376777871084,-1540.4,437.03835611656376,196.9993216705446,-0.0,,,,,
2030,zone,West,2798.2430394869994,-656.1380217774359,948.5703072393678,1193.5347104701957,-0.0,,,,,
2030,pipe,RA_pipe_South_West,,,,,,South,West,-21.546469701092747,63.5,False
2030,pipe,RA_pipe_East_South,,,,,,East,South,484.4,484.4,True
2030,pipe,RA_pipe_East_North,,,,,,East,North,591.5,591.5,True
2030,pipe,RA_pipe_Denver_South,,,,,,Denver,South,-1610.4,1610.4,True
2030,pipe,RA_pipe_Mountain_South,,,,,,Mountain,South,683.8,683.8,True
2030,pipe,RA_pipe_Denver_East,,,,,,Denver,East,-464.5,464.5,True
2030,pipe,RA_pipe_Mountain_West,,,,,,Mountain,West,-634.5915520763432,961.1,False
2030,pipe,RA_pipe_Denver_Mountain,,,,,,Denver,Mountain,73.1,73.1,True
2030,pipe,RA_pipe_Denver_North,,,,,,Denver,North,-3968.6249450483,4070.5,False
2030,pipe,RA_pipe_Mountain_North,,,,,,Mountain,North,0.0,0.0,True
2030,pipe,RA_pipe_North_West,,,,,,North,West,0.0,0.0,True
2035,zone,Denver,2542.0091508632363,6218.5,8760.509150863236,0.0,-0.0,,,,,
2035,zone,North,5529.353932331657,-3479.0,1355.9416113554857,694.4123209761715,-0.0,,,,,
2035,zone,South,3142.502562864832,-378.70000000000005,2763.8025628648315,4.547473508864641e-13,-0.0,,,,,
2035,zone,Mountain,245.3198,204.20000000000007,302.9844619649374,146.53533803506264,-0.0,,,,,
2035,zone,East,2604.5731251569296,-1540.4,485.3005241839105,578.872600973019,-0.0,,,,,
2035,zone,West,2691.492559486999,-1024.6,1041.9543408340196,624.9382186529797,-0.0,,,,,
2035,pipe,RA_pipe_South_West,,,,,,South,West,-63.5,63.5,True
2035,pipe,RA_pipe_East_South,,,,,,East,South,484.4,484.4,True
2035,pipe,RA_pipe_East_North,,,,,,East,North,591.5,591.5,True
2035,pipe,RA_pipe_Denver_South,,,,,,Denver,South,-1610.4,1610.4,True
2035,pipe,RA_pipe_Mountain_South,,,,,,Mountain,South,683.8,683.8,True
2035,pipe,RA_pipe_Denver_East,,,,,,Denver,East,-464.5,464.5,True
2035,pipe,RA_pipe_Mountain_West,,,,,,Mountain,West,-961.1,961.1,True
2035,pipe,RA_pipe_Denver_Mountain,,,,,,Denver,Mountain,-73.1,73.1,True
2035,pipe,RA_pipe_Denver_North,,,,,,Denver,North,-4070.5,4070.5,True
2035,pipe,RA_pipe_Mountain_North,,,,,,Mountain,North,0.0,0.0,True
2035,pipe,RA_pipe_North_West,,,,,,North,West,0.0,0.0,True
2040,zone,Denver,4214.5393601579235,5752.060002171114,9966.599362329038,0.0,-0.0,,,,,
