year,carrier,existing,vintage,new_build,total
2030,Wind,5307.0,0.0,11203.151470276329,16510.15147027633
2030,Solar:PV,4659.66,0.0,0.0,4659.66
2030,Gas:CT,3191.4,0.0,1410.3626962624983,4601.762696262498
2030,Gas:CC,2799.2258064516127,0.0,0.0,2799.2258064516127
2030,Storage:Battery,1202.3,0.0,0.0,1202.3
2030,Coal,750.0,0.0,0.0,750.0
2030,Hydro,687.6,0.0,0.0,687.6
2030,Gas:ST,602.0,0.0,0.0,602.0
2030,Hydro:Pumped,578.5,0.0,0.0,578.5
2030,Gas:IC,278.62,0.0,0.0,278.62
2035,Wind,5307.0,11203.151470276329,1387.1532380883555,17897.304708364685
2035,Gas:CT,1794.2,1410.3626962624983,6029.450966969864,9234.013663232363
2035,Solar:PV,4659.66,0.0,0.0,4659.66
2035,Storage:Battery,1198.1,0.0,0.0,1198.1
2035,Gas:CC,764.0,0.0,0.0,764.0
2035,Hydro,687.6,0.0,0.0,687.6
2035,Hydro:Pumped,578.5,0.0,0.0,578.5
2035,Gas:IC,226.32,0.0,0.0,226.32
2040,Wind,5063.0,12590.304708364685,1163.657804870838,18816.96251323552
2040,Gas:CT,1116.2,7439.813663232362,2413.339209761928,10969.352872994292
2040,Solar:PV,4659.66,0.0,0.0,4659.66
2040,Storage:Battery,856.0,0.0,0.0,856.0
2040,Gas:CC,764.0,0.0,0.0,764.0
2040,Hydro,667.7,0.0,0.0,667.7
2040,Hydro:Pumped,578.5,0.0,0.0,578.5
2045,Wind,3008.2000000000003,13753.962513235521,996.0544509254868,17758.21696416101
2045,Gas:CT,936.2,9853.152872994291,4154.990197180287,14944.343070174578
2045,Solar:PV,4659.66,0.0,1975.3198308789952,6634.979830878995
2045,Hydro,667.7,0.0,0.0,667.7
2045,Hydro:Pumped,578.5,0.0,0.0,578.5
2045,Gas:CC,576.0,0.0,0.0,576.0
2045,Storage:Battery,0.0,0.0,417.76773015246897,417.76773015246897
2050,Solar:PV,4329.24,1975.3198308789952,14449.274833193438,20753.834664072434
2050,Wind,249.0,14750.016964161008,5033.218584403357,20032.235548564364
2050,Gas:CT,726.2,14008.143070174578,0.0,14734.343070174578
2050,Storage:Battery,0.0,417.76773015246897,10477.717068812533,10895.484798965002
2050,Hydro,638.2,0.0,0.0,638.2
2050,Hydro:Pumped,578.5,0.0,0.0,578.5
