year,carrier,component,gwh
2030,Wind,Generator,66148.48613792943
2030,Solar:PV,Generator,8788.803323055385
2030,Hydro,Generator,5421.408429227121
2030,Coal,Generator,4622.383043156933
2030,Gas:CC,Generator,0.3250289825803567
2030,Gas:CT,Generator,0.0
2030,Gas:IC,Generator,0.0
2030,Gas:ST,Generator,0.0
2030,Geothermal,Generator,0.0
2030,Nuclear:SMR,Generator,0.0
2030,Solar+Storage,Generator,0.0
2030,import,Generator,-27076.96312982097
2030,Storage:Battery,StorageUnit,1130.7911906683385
2030,Hydro:Pumped,StorageUnit,520.1538943907912
2030,Solar+Storage,StorageUnit,0.0
2035,Wind,Generator,69590.16466288012
2035,Solar:PV,Generator,8040.963838514048
2035,Hydro,Generator,4996.666557158202
2035,Gas:CC,Generator,17.731289624184896
2035,Gas:CT,Generator,10.037045542898595
2035,Gas:IC,Generator,0.0
2035,Geothermal,Generator,0.0
2035,Nuclear:SMR,Generator,0.0
2035,Solar+Storage,Generator,0.0
2035,import,Generator,-25032.589093096816
2035,Storage:Battery,StorageUnit,1301.9926031684597
2035,Hydro:Pumped,StorageUnit,742.261759568083
2035,Solar+Storage,StorageUnit,0.0
2040,Wind,Generator,70359.63817104696
2040,Solar:PV,Generator,7868.224218696545
2040,Hydro,Generator,4928.765932508502
2040,Gas:CC,Generator,28.51535271722542
2040,Gas:CT,Generator,20.59286294642512
2040,Geothermal,Generator,0.0
2040,Nuclear:SMR,Generator,0.0
2040,Solar+Storage,Generator,0.0
2040,import,Generator,-25433.99170527591
2040,Storage:Battery,StorageUnit,985.0881709896024
2040,Hydro:Pumped,StorageUnit,792.4917023461991
2040,Solar+Storage,StorageUnit,0.0
2045,Wind,Generator,68004.58252107313
2045,Solar:PV,Generator,11323.807204658631
2045,Hydro,Generator,4886.9193725680925
2045,Gas:CT,Generator,48.83083014086304
2045,Gas:CC,Generator,24.265031081831562
2045,Geothermal,Generator,0.0
2045,Nuclear:SMR,Generator,0.0
2045,Solar+Storage,Generator,0.0
2045,import,Generator,-23876.0417154338
2045,Hydro:Pumped,StorageUnit,782.6006068066522
2045,Storage:Battery,StorageUnit,460.02564728914575
2045,Solar+Storage,StorageUnit,0.0
2050,Wind,Generator,73000.60193669867
2050,Solar:PV,Generator,35139.576745915714
2050,Hydro,Generator,5285.353914063424
2050,Gas:CC,Generator,0.0
2050,Gas:CT,Generator,0.0
2050,Geothermal,Generator,0.0
2050,Nuclear:SMR,Generator,0.0
2050,Solar+Storage,Generator,0.0
2050,import,Generator,-50486.13508040965
2050,Storage:Battery,StorageUnit,7614.160824377751
2050,Hydro:Pumped,StorageUnit,358.2278786713097
2050,Solar+Storage,StorageUnit,-3.41060513164848e-14
