year,interface,co_bus,far_bus,twh
2030,Link_West_FourCorners,West,FourCorners,6.100876125495239
2030,Link_West_Utah,West,Utah,4.269790715802625
2030,Link_East_Nebraska,East,Nebraska,4.232458143071327
2030,Link_South_NewMexico,South,NewMexico,1.3484413178504842
2030,Link_Mountain_Wyoming,Mountain,Wyoming,1.7804962850404633
2030,Link_North_Wyoming,North,Wyoming,8.554636624477077
2030,Link_East_EasternInterconnect,East,EasternInterconnect,0.7902639180837553
2030,total,,,27.07696312982097
2035,Link_West_FourCorners,West,FourCorners,5.927859907485191
2035,Link_West_Utah,West,Utah,3.948082444859298
2035,Link_East_Nebraska,East,Nebraska,3.993501046330921
2035,Link_South_NewMexico,South,NewMexico,1.2962119086650987
2035,Link_Mountain_Wyoming,Mountain,Wyoming,1.9099697815260304
2035,Link_North_Wyoming,North,Wyoming,7.159360884090505
2035,Link_East_EasternInterconnect,East,EasternInterconnect,0.7976031201397714
2035,total,,,25.032589093096814
2040,Link_West_FourCorners,West,FourCorners,5.702744634949936
2040,Link_West_Utah,West,Utah,4.005137336517672
2040,Link_East_Nebraska,East,Nebraska,4.012996641265229
2040,Link_South_NewMexico,South,NewMexico,1.1871068140179786
2040,Link_Mountain_Wyoming,Mountain,Wyoming,2.023482151064763
2040,Link_North_Wyoming,North,Wyoming,7.707399861715394
2040,Link_East_EasternInterconnect,East,EasternInterconnect,0.795124265744938
2040,total,,,25.43399170527591
2045,Link_West_FourCorners,West,FourCorners,5.484687117847593
2045,Link_West_Utah,West,Utah,4.092743301911687
2045,Link_East_Nebraska,East,Nebraska,3.527450458050847
2045,Link_South_NewMexico,South,NewMexico,1.1373359354172123
2045,Link_Mountain_Wyoming,Mountain,Wyoming,1.589295162523694
2045,Link_North_Wyoming,North,Wyoming,7.303208839485113
2045,Link_East_EasternInterconnect,East,EasternInterconnect,0.741320900197651
2045,total,,,23.876041715433796
2050,Link_West_FourCorners,West,FourCorners,11.522958076617252
2050,Link_West_Utah,West,Utah,8.490986790411485
2050,Link_East_Nebraska,East,Nebraska,7.695907643499443
2050,Link_South_NewMexico,South,NewMexico,2.4116196775537264
2050,Link_Mountain_Wyoming,Mountain,Wyoming,3.9666300005236956
2050,Link_North_Wyoming,North,Wyoming,14.829959851799881
2050,Link_East_EasternInterconnect,East,EasternInterconnect,1.5680730400041658
2050,total,,,50.48613508040965
